Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARC RIVIERA,103 West Coast Vale  #20-16,1,84,Strata,1200000,-,14286,1327,21-Mar-19,Condominium,99 Yrs From 11/11/2015,Uncompleted,Sub Sale,HDB,5,12,126754,West Region,Clementi
WEST COAST GARDENS,9 West Coast Lane,1,183,Land,2800000,-,15267,1418,21-Mar-19,Terrace House,956 Yrs From 27/05/1928,1976,Resale,N.A,5,12,127740,West Region,Clementi
CLEMENTIWOODS CONDOMINIUM,82 West Coast Road  #03-26,1,98,Strata,1215000,-,12398,1152,20-Mar-19,Condominium,99 Yrs From 07/02/2006,2010,Resale,Private,5,12,126817,West Region,Clementi
BLUE HORIZON,23 West Coast Crescent  #09-08,1,113,Strata,1295040,-,11461,1065,20-Mar-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128046,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #11-13,1,47,Strata,746820,-,15890,1476,20-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
THE PARC CONDOMINIUM,3 West Coast Walk  #04-06,1,113,Strata,1650000,-,14602,1357,18-Mar-19,Condominium,Freehold,2010,Resale,Private,5,12,127140,West Region,Clementi
THE CLEMENTVALE,44 Mas Kuning Terrace,1,243,Land,1950000,-,8015,745,18-Mar-19,Terrace House,99 Yrs From 17/05/1997,2001,Resale,Private,5,12,126880,West Region,Clementi
BLUE HORIZON,25 West Coast Crescent  #23-16,1,108,Strata,1330000,-,12315,1144,18-Mar-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,N.A,5,12,128047,West Region,Clementi
REGENT PARK,22 Jalan Lempeng  #01-06,1,98,Strata,1037500,-,10587,984,18-Mar-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,5,12,128803,West Region,Clementi
BOTANNIA,27B West Coast Park  #04-07,1,115,Strata,1546000,-,13443,1249,15-Mar-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,HDB,5,12,127722,West Region,Clementi
CLEMENTI PARK,137 Sunset Way  #02-18,1,154,Strata,1730000,-,11234,1044,15-Mar-19,Condominium,Freehold,1986,Resale,Private,21,59,597159,West Region,Clementi
WEST BAY CONDOMINIUM,54 West Coast Crescent  #04-02,1,134,Strata,1215000,-,9067,842,13-Mar-19,Condominium,99 Yrs From 01/03/1991,1994,Resale,HDB,5,12,128037,West Region,Clementi
THE SORRENTO,55 West Coast Road  #02-01,1,75,Strata,1168000,-,15573,1447,13-Mar-19,Condominium,Freehold,2015,Resale,Private,5,12,127365,West Region,Clementi
N.A.,17 Sunset Terrace,1,297,Land,5250000,-,17677,1642,12-Mar-19,Terrace House,Freehold,Unknown,Resale,Private,21,59,597273,West Region,Clementi
THE PARC CONDOMINIUM,15 West Coast Walk  #12-26,1,134,Strata,1952000,-,14567,1353,11-Mar-19,Condominium,Freehold,2010,Resale,Private,5,12,127162,West Region,Clementi
WESTMONT,17A West Coast Road,1,283,Strata,2268000,-,8014,745,8-Mar-19,Semi-Detached House,Freehold,2009,Resale,Private,5,12,127305,West Region,Clementi
THE PARC CONDOMINIUM,5 West Coast Walk  #22-10,1,226,Strata,3080000,-,13628,1266,7-Mar-19,Condominium,Freehold,2010,Resale,Private,5,12,127146,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #07-15,1,71,Strata,1055430,-,14865,1381,6-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #05-07,1,47,Strata,707130,-,15045,1398,10-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
WESTCOVE CONDOMINIUM,16 West Coast Crescent  #05-09,1,102,Strata,999888,-,9803,911,9-Apr-19,Condominium,99 Yrs From 01/03/1995,1998,Resale,Private,5,12,128044,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #06-20,1,92,Strata,1271700,-,13823,1284,8-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
N.A.,107C Sunset Way,1,781,Land,7880000,-,10090,937,8-Apr-19,Detached House,Freehold,Unknown,Resale,Private,21,59,597145,West Region,Clementi
THE TRILINQ,28A Jalan Lempeng  #11-11,1,87,Strata,1520148,-,17473,1623,8-Apr-19,Condominium,99 Yrs From 16/04/2012,2017,Resale,HDB,5,12,128808,West Region,Clementi
BLUE HORIZON,27 West Coast Crescent  #11-21,1,87,Strata,980000,-,11264,1046,8-Apr-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128048,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #15-06,1,57,Strata,882090,-,15475,1438,6-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #15-15,1,71,Strata,1106460,-,15584,1448,6-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #09-17,1,99,Strata,1372950,-,13868,1288,6-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
CLEMENTI PARK,137 Sunset Way  #06-07,1,200,Strata,2530000,-,12650,1175,5-Apr-19,Condominium,Freehold,1986,Resale,Private,21,59,597159,West Region,Clementi
CLEMENTIWOODS CONDOMINIUM,88 West Coast Road  #04-36,1,151,Strata,1880000,-,12450,1157,5-Apr-19,Condominium,99 Yrs From 07/02/2006,2010,Resale,Private,5,12,126819,West Region,Clementi
THE STELLAR,12 West Coast Road  #02-13,1,132,Strata,1735000,-,13144,1221,5-Apr-19,Condominium,Freehold,2008,Resale,HDB,5,12,126821,West Region,Clementi
THE PARC CONDOMINIUM,1 West Coast Walk  #23-01,1,125,Strata,1810000,-,14480,1345,4-Apr-19,Condominium,Freehold,2010,Resale,Private,5,12,127158,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #35-10,1,71,Strata,1189890,-,16759,1557,4-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126751,West Region,Clementi
VARSITY PARK CONDOMINIUM,24 West Coast Road  #01-05,1,150,Strata,1740000,-,11600,1078,4-Apr-19,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,127447,West Region,Clementi
BLUE HORIZON,21 West Coast Crescent  #08-04,1,107,Strata,1200000,-,11215,1042,3-Apr-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128045,West Region,Clementi
VARSITY PARK CONDOMINIUM,46 West Coast Road  #03-48,1,127,Strata,1600000,-,12598,1170,2-Apr-19,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,126840,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #08-07,1,47,Strata,716040,-,15235,1415,2-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
VARSITY PARK CONDOMINIUM,74 West Coast Road  #02-101,1,94,Strata,1200000,-,12766,1186,1-Apr-19,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,126827,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #18-11,1,56,Strata,876420,-,15650,1454,1-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #14-15,1,71,Strata,1077300,-,15173,1410,31-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #19-20,1,92,Strata,1349460,-,14668,1363,31-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #24-17,1,99,Strata,1459620,-,14744,1370,30-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #23-21,1,89,Strata,1323540,-,14871,1382,30-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #08-05,1,71,Strata,1027890,-,14477,1345,30-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #23-09,1,89,Strata,1363230,-,15317,1423,30-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
HUNDRED TREES,89 West Coast Drive  #08-19,1,85,Strata,1220000,-,14353,1333,29-Mar-19,Condominium,956 Yrs From 27/05/1928,2013,Resale,Private,5,12,128016,West Region,Clementi
THE PARC CONDOMINIUM,5 West Coast Walk  #03-12,1,121,Strata,1702800,-,14073,1307,29-Mar-19,Condominium,Freehold,2010,Resale,Private,5,12,127146,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #14-09,1,89,Strata,1299240,-,14598,1356,29-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
REGENT PARK,22 Jalan Lempeng  #01-07,1,90,Strata,910000,-,10111,939,28-Mar-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,N.A,5,12,128803,West Region,Clementi
FABER CREST,50H Faber Heights  #02-58,1,118,Strata,1200000,-,10169,945,28-Mar-19,Condominium,99 Yrs From 12/06/1996,2001,Resale,Private,5,12,129202,West Region,Clementi
PARC RIVIERA,101 West Coast Vale  #08-04,1,43,Strata,615000,-,14302,1329,27-Mar-19,Condominium,99 Yrs From 11/11/2015,Uncompleted,Sub Sale,Private,5,12,126753,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #17-21,1,89,Strata,1299240,-,14598,1356,27-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #17-11,1,56,Strata,873990,-,15607,1450,27-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #11-17,1,99,Strata,1381050,-,13950,1296,27-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #03-14,1,57,Strata,835920,-,14665,1362,26-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
PASIR PANJANG GARDENS,1 Jalan Mas Kuning,1,244,Land,3200000,-,13104,1217,26-Mar-19,Terrace House,Freehold,Unknown,Resale,Private,5,12,128685,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #16-21,1,89,Strata,1295190,-,14553,1352,25-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
N.A.,27 Jubilee Road,1,200,Land,3632888,-,18164,1688,25-Mar-19,Semi-Detached House,Freehold,2008,Resale,Private,5,12,128574,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #15-09,1,89,Strata,1330020,-,14944,1388,24-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #29-19,1,58,Strata,929070,-,16018,1488,24-Mar-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #30-17,1,99,Strata,1529280,-,15447,1435,30-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #02-06,1,57,Strata,808380,-,14182,1318,30-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126751,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #13-02,1,119,Strata,1643490,-,13811,1283,29-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
HUNDRED TREES,83 West Coast Drive  #01-06,1,150,Strata,1900000,-,12667,1177,29-Apr-19,Condominium,956 Yrs From 27/05/1928,2013,Resale,HDB,5,12,127999,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #23-20,1,92,Strata,1365660,-,14844,1379,26-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
CARABELLE,59 West Coast Way  #07-15,1,88,Strata,1270000,-,14432,1341,26-Apr-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,HDB,5,12,127019,West Region,Clementi
BLUE HORIZON,27 West Coast Crescent  #15-20,1,84,Strata,975000,-,11607,1078,25-Apr-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128048,West Region,Clementi
WEST BAY CONDOMINIUM,52 West Coast Crescent  #02-03,1,87,Strata,800000,-,9195,854,24-Apr-19,Condominium,99 Yrs From 01/03/1991,1993,Resale,Private,5,12,128036,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #16-12,1,99,Strata,1470150,-,14850,1380,23-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #20-01,1,57,Strata,897480,-,15745,1463,23-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #09-15,1,71,Strata,1061910,-,14956,1389,23-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
CLEMENTIWOODS CONDOMINIUM,90 West Coast Road  #01-46,1,154,Strata,1825000,-,11851,1101,23-Apr-19,Condominium,99 Yrs From 07/02/2006,2010,Resale,Private,5,12,126810,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #17-20,1,92,Strata,1341360,-,14580,1355,22-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #04-02,1,119,Strata,1598130,-,13430,1248,21-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #19-12,1,99,Strata,1482300,-,14973,1391,20-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #10-20,1,92,Strata,1287900,-,13999,1301,20-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #14-17,1,99,Strata,1393200,-,14073,1307,19-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #05-20,1,92,Strata,1267650,-,13779,1280,18-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #16-20,1,92,Strata,1337310,-,14536,1350,18-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
SEAHILL,121 West Coast Crescent  #10-09,1,58,Strata,900000,-,15517,1442,18-Apr-19,Condominium,99 Yrs From 26/09/2011,2016,Resale,HDB,5,12,126778,West Region,Clementi
CARABELLE,59 West Coast Way  #12-16,1,193,Strata,2575000,-,13342,1239,16-Apr-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127019,West Region,Clementi
BOTANNIA,27B West Coast Park  #05-07,1,117,Strata,1580000,-,13504,1255,16-Apr-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127722,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #22-17,1,99,Strata,1451520,-,14662,1362,16-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #22-11,1,56,Strata,888570,-,15867,1474,15-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
THE INFINITI,39G West Coast Park  #02-22,1,115,Strata,1360000,-,11826,1099,15-Apr-19,Condominium,Freehold,2008,Resale,Private,5,12,127718,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #26-17,1,99,Strata,1467720,-,14825,1377,14-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #31-02,1,119,Strata,1810000,-,15210,1413,13-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,Private,5,12,126751,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #29-11,1,56,Strata,910440,-,16258,1510,13-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126751,West Region,Clementi
BOTANNIA,31B West Coast Park  #10-33,1,119,Strata,1540000,-,12941,1202,12-Apr-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,HDB,5,12,127726,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #12-15,1,71,Strata,1071630,-,15093,1402,12-Apr-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
BLUE HORIZON,29 West Coast Crescent  #08-30,1,87,Strata,960000,-,11034,1025,11-Apr-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128049,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #06-15,1,71,Strata,1053000,-,14831,1378,6-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
BLUE HORIZON,25 West Coast Crescent  #23-17,1,113,Strata,1360000,-,12035,1118,6-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128047,West Region,Clementi
FABER CREST,50H Faber Heights  #01-62,1,127,Strata,1300000,-,10236,951,6-May-19,Condominium,99 Yrs From 12/06/1996,2001,Resale,Private,5,12,129202,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #03-03,1,119,Strata,1593270,-,13389,1244,4-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
THE TRILINQ,28A Jalan Lempeng  #07-09,1,85,Strata,1490000,-,17529,1629,2-May-19,Condominium,99 Yrs From 16/04/2012,2017,Resale,HDB,5,12,128808,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #07-03,1,119,Strata,1613520,-,13559,1260,2-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #14-13,1,47,Strata,755730,-,16079,1494,2-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #13-15,1,71,Strata,1074870,-,15139,1406,1-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #05-14,1,57,Strata,842400,-,14779,1373,25-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
TWIN VEW,93 West Coast Vale  #23-09,1,110,Strata,1708000,-,15527,1443,25-May-19,Apartment,99 Yrs From 15/05/2017,Uncompleted,New Sale,HDB,5,12,126756,West Region,Clementi
REGENT PARK,26 Jalan Lempeng  #03-14,1,84,Strata,898000,-,10690,993,24-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,5,12,128805,West Region,Clementi
FREESIA WOODS,65 Sunset Way  #01-15,1,157,Strata,2000000,-,12739,1183,23-May-19,Condominium,Freehold,2003,Resale,Private,21,59,597090,West Region,Clementi
SEAHILL,119 West Coast Crescent  #27-03,1,98,Strata,1480000,-,15102,1403,23-May-19,Condominium,99 Yrs From 26/09/2011,2016,Resale,HDB,5,12,126777,West Region,Clementi
WEST BAY CONDOMINIUM,60 West Coast Crescent  #04-07,1,81,Strata,785000,-,9691,900,22-May-19,Condominium,99 Yrs From 01/03/1991,1993,Resale,HDB,5,12,128040,West Region,Clementi
BOTANNIA,29B West Coast Park  #01-22,1,152,Strata,1800000,-,11842,1100,22-May-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127724,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #27-02,1,119,Strata,1744740,-,14662,1362,22-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
SUNSET LODGE,23C Sunset Close,1,95,Strata,1070000,-,11263,1046,21-May-19,Condominium,Freehold,1978,Resale,Private,21,59,597537,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #29-20,1,92,Strata,1389960,-,15108,1404,19-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #09-05,1,71,Strata,1031130,-,14523,1349,17-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
HUNDRED TREES,83 West Coast Drive  #01-05,1,150,Strata,1950000,-,13000,1208,17-May-19,Condominium,956 Yrs From 27/05/1928,2013,Resale,HDB,5,12,127999,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #15-19,1,58,Strata,868320,-,14971,1391,17-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
VARSITY PARK CONDOMINIUM,62 West Coast Road  #04-79,1,139,Strata,1680000,-,12086,1123,13-May-19,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,126833,West Region,Clementi
BOTANNIA,31A West Coast Park  #05-27,1,145,Strata,2000000,-,13793,1281,13-May-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127725,West Region,Clementi
BLUE HORIZON,23 West Coast Crescent  #14-07,1,113,Strata,1330000,-,11770,1093,13-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128046,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #04-06,1,57,Strata,814860,-,14296,1328,12-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #13-21,1,89,Strata,1257930,-,14134,1313,12-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #08-17,1,99,Strata,1368900,-,13827,1285,10-May-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WESTCOVE CONDOMINIUM,12 West Coast Crescent  #01-02,1,143,Strata,1210000,-,8462,786,8-May-19,Condominium,99 Yrs From 01/03/1995,1998,Resale,Private,5,12,128042,West Region,Clementi
WEST BAY CONDOMINIUM,52 West Coast Crescent  #01-08,1,134,Strata,1150000,-,8582,797,14-Jun-19,Condominium,99 Yrs From 01/03/1991,1994,Resale,N.A,5,12,128036,West Region,Clementi
N.A.,11 Faber Avenue,1,420,Land,4500000,-,10707,995,12-Jun-19,Semi-Detached House,Freehold,Unknown,Resale,Private,5,12,129525,West Region,Clementi
BLUE HORIZON,23 West Coast Crescent  #19-09,1,108,Strata,1235000,-,11435,1062,11-Jun-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128046,West Region,Clementi
BOTANNIA,29A West Coast Park  #03-17,1,118,Strata,1610000,-,13644,1268,11-Jun-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127723,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #20-12,1,99,Strata,1486350,-,15014,1395,10-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #19-15,1,71,Strata,1119420,-,15766,1465,10-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
N.A.,2A Faber Park,1,559,Land,6080000,-,10886,1011,10-Jun-19,Detached House,Freehold,2015,Resale,Private,5,12,129135,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #14-06,1,57,Strata,853740,-,14978,1391,9-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #21-16,1,41,Strata,707130,-,17247,1602,8-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #11-21,1,89,Strata,1249830,-,14043,1305,8-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #15-13,1,47,Strata,780030,-,16596,1542,6-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #02-13,1,47,Strata,718470,-,15287,1420,5-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
CLEMENTI PARK,137 Sunset Way  #04-19,1,125,Strata,1420000,-,11360,1055,3-Jun-19,Condominium,Freehold,1986,Resale,Private,21,59,597159,West Region,Clementi
WHISTLER GRAND,107 West Coast Vale  #10-05,1,71,Strata,1034370,-,14569,1353,2-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126751,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #28-15,1,71,Strata,1147770,-,16166,1502,2-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,5,12,126752,West Region,Clementi
WHISTLER GRAND,109 West Coast Vale  #09-13,1,47,Strata,740340,-,15752,1463,1-Jun-19,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,HDB,5,12,126752,West Region,Clementi
BLUE HORIZON,21 West Coast Crescent  #15-02,1,108,Strata,1120000,-,10370,963,31-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128045,West Region,Clementi
THE INFINITI,39E West Coast Park  #09-14,1,85,Strata,1068000,-,12565,1167,31-May-19,Condominium,Freehold,2008,Resale,HDB,5,12,127716,West Region,Clementi
BLUE HORIZON,23 West Coast Crescent  #10-09,1,108,Strata,1250000,-,11574,1075,30-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128046,West Region,Clementi
