NAME,ADDRESS,POSTCODE,XCOORD,YCOORD,OUTLET TYPE,Gp1Gp2 Winnings
NTUC FP Limbang Shopping Centre,Blk 533 Choa Chu Kang St 51 Limbang Shopping Centre #01-11   Singapore 680533,680533,17959.8064,41554.1654,Outlet,21
NTUC FP Lot 1 Shoppers Mall,21 Choa Chu Kang Ave 4 Lot 1 Shoppers Mall #B1-05   Singapore 689812,689812,18175.6458,40767.4553,Outlet,19
NTUC FP Marine Parade,6 Marine Parade Central   Singapore 449411,449411,36219.8016,31520.9238,Outlet,41
NTUC FP Marsiling MRT Station,71 Woodlands Ave 3 Marsiling MRT Station #01-01   Singapore 739044,739044,21399.2012,46039.0807,Outlet,13
NTUC FP New Upper Changi,Blk 57 New Upp Changi Rd #01-1334/1338   Singapore 461057,461057,40047.5131,34054.8394,Outlet,31
NTUC FP Pasir Ris White Sands,1 Pasir Ris Central St 3 White Sands #B1-10   Singapore 518457,518457,40963.0807,39392.0527,Outlet,26
NTUC FP Punggol Plaza,Blk 168 Punggol Field Rd Punggol Plaza #03-01   Singapore 820168,820168,36864.8676,41787.4593,Outlet,21
NTUC FP Rivervale Mall,11 Rivervale Crescent Rivervale Mall #03-01   Singapore 545082,545082,35918.5613,41569.9536,Outlet,24
NTUC FP Senja,Blk 628 Senja Rd Senja Grand #01-01   Singapore 670628,670628,19864.8887,40782.5221,Outlet,8
NTUC FP Serangoon Central Hypermart,23 Serangoon Central #03-42 NEX   Singapore 556083,556083,32408.2483,36936.3121,Outlet,12
NTUC FP Serangoon North,Blk 152B Serangoon North Ave 1 #01-384   Singapore 552152,552152,32420.0488,39091.012,Outlet,27
NTUC FP Shaw Plaza,360 Balestier Rd Shaw Plaza #B1-01   Singapore 329783,329783,30002.0624,34120.897,Outlet,20
NTUC FP Singapore Post Centre,10 Eunos Rd 8 Singapore Post Centre #B2-13   Singapore 408600,408600,34857.8559,33467.3275,Outlet,10
NTUC FP Square 2,10 Sinaran Dr Square 2 #04-47/48/49   Singapore 307506,307506,29208.7384,33658.1633,Outlet,25
NTUC FP Sun Plaza,30 Sembawang Dr Sun Plaza #B1-01/02   Singapore 757713,757713,26491.5801,47786.2434,Outlet,40
NTUC FP Tampines Mall,4 Tampines Central 5 Tampines Mall #B1-12   Singapore 529510,529510,40395.0798,37187.2524,Outlet,35
NTUC FP Tampines St 11,Blk 107 Tampines St 11 #01-353/359   Singapore 521107,521107,40777.123,36721.0987,Outlet,23
NTUC FP Tampines St 44,Blk 475 Tampines St 44 #01-145   Singapore 520475,520475,41333.1734,38043.4883,Outlet,23
NTUC FP Tampines Street 83,Blk 866A #01-K1 Tampines St 83   Singapore 521866,521866,39252.4771,37498.2291,Outlet,10
NTUC FP Tanjong Pagar,Blk 5 Tanjong Pagar Rd Tanjong Pagar Plaza #01-01   Singapore 081005,81005,29078.0944,28745.4452,Outlet,48
NTUC FP Telok Blangah,Blk 78A Telok Blangah St 32 #01-01   Singapore 101078,101078,25291.3676,28429.5017,Outlet,24
NTUC FP Thomson Plaza,301 Upp Thomson Rd Thomson Plaza #03-25/31   Singapore 574408,574408,27735.8434,37415.8517,Outlet,24
NTUC FP Tiong Bahru Plaza,302 Tiong Bahru Rd Tiong Bahru Plaza #B1-01/02   Singapore 168732,168732,27335.8219,29839.2827,Outlet,29
NTUC FP Toa Payoh,Blk 192 Lor 4 Toa Payoh #02-674   Singapore 310192,310192,29910.2223,34873.923,Outlet,25
NTUC FP Toa Payoh HDB Centre,Blk 500 Lor 6 Toa Payoh HDB Centre #01-33   Singapore 310500,310500,29530.1904,35023.4014,Outlet,34
NTUC FP Woodgrove,30 Woodlands Ave 1 The Woodgrove #01-11   Singapore 739065,739065,22191.2964,45604.7795,Outlet,16
NTUC FP Woodlands Civic Centre,900 South Woodlands Dr Woodlands Civic Centre #B1-01   Singapore 730900,730900,22837.3812,46304.6811,Outlet,20
NTUC FP Yishun,301 Yishun Ave 2 Yishun MRT Station #01-02   Singapore 769093,769093,28184.2393,45658.9769,Outlet,35
NTUC FP Yishun Ring Rd,Blk 849 Yishun Ring Rd #01-3701/3703   Singapore 760849,760849,28230.3353,44299.2991,Outlet,31
NTUC FP Yung Kuang,Blk 63-66 Yung Kuang Rd #01-119/02-119   Singapore 610063,610063,15661.7921,34918.1532,Outlet,30
OCN (Singapore) Pte Ltd,Blk 501 West Coast Dr #01-266   Singapore 120501,120501,19713.9563,32620.182,Outlet,27
Ong Eng Siang Trading,Blk 71 Seng Poh Rd #01-43   Singapore 160071,160071,27909.4576,29630.6591,Outlet,26
Oversea Emporium (Pte) Ltd,1 Park Rd People's Park Complex #02-70   Singapore 059108,59108,29031.2548,29617.9408,Outlet,20
Papillon Florist Pte Ltd,Blk 133 Jln Bukit Merah #01-1520   Singapore 160133,160133,27341.4238,29111.7234,Outlet,13
PFG Framing And Trading,Blk 960 Jurong West St 92 #01-182   Singapore 640960,640960,12212.6174,35949.5464,Outlet,37
Pinthely Floral Centre,5001 Beach Road #02-35 Golden Mile Complex   Singapore 199588,199588,31557.5081,31688.9328,Outlet,28
Poon Long Heng,Blk 716 Yishun St 71 #01-276   Singapore 760716,760716,27375.1924,45328.6798,Outlet,21
Precise Optics,111 North Bridge Rd Peninsula Plaza #02-42   Singapore 179098,179098,29945.8452,30524.0807,Outlet,35
Premier Security Cooperative Society Ltd,Blk 574 Ang Mo Kio Ave 10 #01-1823   Singapore 560574,560574,30566.8318,39180.8906,Outlet,11
Prime Chai Chee,25A Chai Chee Rd #01-459   Singapore 461025,461025,38108.1666,33948.2222,Outlet,12
Prime Compassvale St,Blk 263 Compassvale St #01-01   Singapore 540263,540263,34970.8476,41860.8552,Outlet,15
Prime Keat Hong,Blk 253 Choa Chu Kang Avenue 1 #01-07 to 10 Keat Hong Shopping Centre   Singapore 680253,680253,18121.0396,39862.7599,Outlet,2
Prime Punggol Field,Blk 108 Punggol Field #01-02   Singapore 820108,820108,36409.4712,42039.9911,Outlet,29
Prime Woodlands,Blk 678 Woodlands Ave 6 #01-716   Singapore 730678,730678,24455.8762,46824.9787,Outlet,29
Ram's Shop 1996,304 Orchard Rd Lucky Plaza #B1-119   Singapore 238863,238863,28076.41,31866.4964,Outlet,45
Rangoon Provision Shop,681 Race Course Road #01-309   Singapore 210681,210681,30441.7351,32888.5134,Outlet,21
S E Store,Blk 352 Jurong East St 31 #01-121   Singapore 600352,600352,16546.7245,36341.8715,Outlet,27
Sangara Trading,Blk 305 Woodlands St 31 #01-63   Singapore 730305,730305,21409.8301,45787.4386,Outlet,18
Seah Geok Eng Agency,Blk 118 Rivervale Dr Rivervale Plaza #01-15   Singapore 540118,540118,35641.3019,40820.692,Outlet,42
Seah Koon Huat,Blk 116 Bukit Merah View #01-233   Singapore 151116,151116,26688.0496,29729.2245,Outlet,36
Seng Yeok Chan Agency,Blk 338 Ang Mo Kio Ave 1 #01-1657   Singapore 560338,560338,29736.1849,38430.1374,Outlet,33
Sheng Moh Fruits & Prov Store,29 Jln Mas Puteh   Singapore 128632,128632,20074.8517,32298.4669,Outlet,31
Shop N Save Beauty World,144 Upp Bukit Timah Rd Beauty World Centre #B1-01   Singapore 588177,588177,21681.0912,36062.7591,Outlet,10
Shop N Save Buangkok Cresent,Blk 982 Buangkok Cresent #01-01   Singapore 530982,530982,33120.7976,40310.6194,Outlet,9
Shop N Save Compassvale Bow,Blk 266 Compassvale Bow #01-02   Singapore 540266,540266,35094.8931,40431.4526,Outlet,12
Shop N Save Greenridge,Blk 524A Jelapang Rd Greenridge Shopping Centre #03-13/18   Singapore 671524,671524,20533.7299,40816.744,Outlet,12
Singapore Armed Forces Football Club,1 Choa Chu Kang St 53 Choa Chu Kang Stadium #02-06   Singapore 689236,689236,18510.275,41410.8079,Outlet,5
Singapore Turf Club Bedok Centre,Blk 215 Bedok North St 1 #02-87   Singapore 460215,460215,39147.5156,34254.6374,Outlet,2
Singapore Turf Club Bukit Merah,Blk169 Jalan Bukit Merah #01-20   Singapore 150169,150169,26393.2631,29527.5027,Outlet,3
Singapore Turf Club China Square,51 Telok Ayer Street   Singapore 048441,48441,29776.5712,29481.7606,Outlet,1
Singapore Turf Club Holland Drive,Blk 47 Holland Drive #01-385   Singapore 270047,270047,23444.7595,32318.6874,Outlet,5
Singapore Turf Club International Plaza,10 Anson Rd International Plaza #03-13/26   Singapore 079903,79903,29406.343,28703.2721,Outlet,12
Singapore Turf Club Majestic,80 Eu Tong Sen Street   Singapore 059810,59810,29097.5798,29686.1714,Outlet,0
Singapore Turf Club Pearl Centre,100A Eu Tong Sen St Pearls Centre #04-01 / #05-00   Singapore 059813,59813,28820.5701,29331.4314,Outlet,0
Singapore Turf Club Racecourse,1 Turf Club Ave Singapore Racecourse   Singapore 738078,738078,20117.9342,44888.0601,Outlet,0
Singapore Turf Club Rangoon,Blk 677 Rangoon Rd #02-00   Singapore 210677,210677,30428.9953,32759.2004,Outlet,3
Singapore Turf Club Serangoon Ave 3,Blk 267 Serangoon Ave 3 #02-01 & #03-02   Singapore 550267,550267,32189.2089,37252.4012,Outlet,4
Singapore Turf Club Singapore Post Centre,10 Eunos Road 8 #03-01 Singapore Post Centre   Singapore 408600,408600,34857.8559,33467.3275,Outlet,0
Soh Choo Trading,Blk 19 Marsiling Lane #01-303   Singapore 730019,730019,21775.6229,47253.772,Outlet,23
Springdale Garments Co,Blk 408 Ang Mo Kio Ave 10 #01-795   Singapore 560408,560408,30367.0097,38238.6613,Outlet,33
Subramaniam Store,100 Eu Tong Sen St Pearl's Centre #01-30   Singapore 059812,59812,28816.9969,29350.29,Outlet,23
Superbowl Jurong Pte Ltd,3 Yuan Ching Rd   Singapore 618642,618642,15969.8835,34189.3194,Outlet,28
Tampines Rovers Football Club,Blk 824 Tampines St 81 #01-14   Singapore 520824,520824,39061.2837,36795.8138,Outlet,29
Tampines Trading,Blk 828 Tampines St 81 #01-234   Singapore 520828,520828,39297.1956,36772.4648,Outlet,45
Tan Ah Leck Trading,Blk 151 Bukit Batok St 11 #01-254   Singapore 650151,650151,18080.8464,36768.4191,Outlet,41
Tan Boon Tin Agency,Blk 56 Marine Terrace #01-253   Singapore 440056,440056,37132.078,31992.8128,Outlet,20
Tan Kai Huat Provision Shop,Blk 123 Hougang Ave 1 #01-1408   Singapore 530123,530123,33891.6784,37276.2743,Outlet,17
Tan Wee Fong Trading,Blk 24 Bendemeer Rd #01-529   Singapore 330024,330024,31226.7899,33431.0491,Outlet,39
Tay Ah Tho Trading,Blk 768 Woodlands Ave 6 Woodlands Mart #01-21   Singapore 730768,730768,24093.9794,47496.2011,Outlet,17
Tay Sui Lan Agency,11 Collyer Quay The Arcade #02-13   Singapore 049317,49317,30085.6391,29561.6857,Outlet,59
Teo Khar Bee Agency,87 Maude Rd #01-01   Singapore 208358,208358,30717.406,32290.9359,Outlet,23
Teo Sook Cheng Agency,Blk 293 Yishun St 22 #01-225   Singapore 760293,760293,28505.2153,46401.8117,Outlet,44
The Little Plaza,Blk 399 Yung Sheng Road #01-07 Taman Jurong Shopping Centre   Singapore 610399,610399,15440.2441,35226.169,Outlet,30
Thiam Hoon Traders,Blk 123 Bukit Merah Lane 1 #01-110   Singapore 150123,150123,24739.2066,29919.0185,Outlet,32
Tong Aik Huat,Blk 685 Hougang St 61 #01-160   Singapore 530685,530685,33856.8463,39668.9605,Outlet,44
TST Medical Hall,448 Joo Chiat Rd   Singapore 427661,427661,35909.2669,32085.8983,Outlet,28
Tuas View,71 Pioneer Rd Tuas Amenity Centre #02-02/03   Singapore 639591,639591,7844.1942,33275.9943,Outlet,27
Tuck Lee Long,Blk 159 Ang Mo Kio Ave 4 #01-536   Singapore 560159,560159,28711.6734,39618.2894,Outlet,31
Uni-Foto Pte Ltd,400 Orchard Rd Orchard Towers #B1-11   Singapore 238875,238875,27532.2641,32146.5743,Outlet,24
Vijaya Darshana Agency,810 Geylang Rd City Plaza #01-58/59   Singapore 409286,409286,34695.1063,33009.7527,Outlet,24
Vitatron & Medical Co,60 Smith St   Singapore 058963,58963,29114.1366,29486.8593,Outlet,28
Wanrise,Blk 53 Sims Place #01-172   Singapore 380053,380053,33203.2127,33344.5997,Outlet,37
Whampoa Tat Lee Trading,865 Mountbatten Rd Katong Shopping Centre #01-26   Singapore 437844,437844,35550.3232,31792.9931,Outlet,14
Wong Teck Chow Enterprise Pte Ltd,390 Victoria St Golden Landmark Shopping Centre #01-33   Singapore 188061,188061,30722.5771,31584.4494,Outlet,13
Woodlands Wellington Football Club,1 Woodlands St 12 Woodlands Stadium   Singapore 738619,738597,22113.76635,46300.87918,Outlet,8
Xie Sheng Dept Service Co,Blk 632 Bedok Reservoir Rd #01-820   Singapore 470632,470632,36995.2776,34917.0434,Outlet,30
Yeo Kean Fatt Dept Store,Blk 17 Bedok South Rd #01-583   Singapore 460017,460017,39378.9022,33601.1242,Outlet,20
Yeo Soon Huat,Blk 70 Lor 4 Toa Payoh #01-347   Singapore 310070,310070,30125.8208,35180.2935,Outlet,17
Yong Lai Peck Trading,64 Jln Jurong Kechil   Singapore 598585,598585,21393.78,35858.7516,Outlet,20
