school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21 TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR SURESH S/O BALAKRISHNAN,MRS CLAIRE CHO,MR MOHAMED SAYADI BIN MOHAMED NOR,MR LEE HAN KEONG,na,na,na,An institution of excellence which nurtures ethical change-makers.,"We are committed to instilling in our students the Five Fundamental Values of:  Discernment in our choice of right from what is not, Discipline in mind, fitness and conduct,  Daring to experiment and forge breakthroughs, Determination to succeed in all that we do And Duty  To serve and better our school, community and nation.","As a high-performing Autonomous School, our value proposition is Dunman Aspires, Builds and Cares.  We Aspire to be better than we ever imagined we could be. We believe in each child's different abilities and his potential to become an inquiring and independent learner who owns his learning outcomes.  We Build people as we are one community. We provide a rigorous and holistic education which nurtures students to excel in lifelong learning. We dare to be innovative and challenge our students and staff to do things differently. We place a premium on character development and positive teacher-student relationships. Together with the strong partnerships forged with parents and stakeholders, we believe that our high-care, high-expectations approach to nurturing the child will develop the necessary skills.  We Care by giving back to others, through instilling in students values and character that will essentially shape them into well-rounded and contributing members of society.",TAMPINES,EAST,EAST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"As the East Zone Centre of Excellence for Innovations in Science, the school has a high-end Life Sciences Research Centre and an exciting Life Science Programme.  Students who are talented in Mathematics, Sciences and Design have the opportunity to join the Talent Development Programme, and to participate in international Olympiads. We provide a vibrant school-based curriculum such as MEDAL, which integrates Music, English and Literature. Students also undergo an ICT-driven Science Project Work where they work collaboratively and independently to create Mathematics and Science-themed Apps. Some of these Apps have been featured in the iTunes store. Our robust Character and Citizenship Education Programme provides students with leadership opportunities, and overseas immersion experiences to develop global perspectives. Our vibrant Values-in-Action programme enables students to serve the community and society at large. The school is one of the five pilot schools selected by MOE to implement a total curriculum infusing the teaching of 21st century competencies. The Dunman All-Round Excellence (DARE) Framework undergirds our focus on holistic education to nurture ethical change-makers."
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg,31 YUAN CHING ROAD,618652,62655980,na,62686414,na,JURONG_SS@MOE.EDU.SG,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",MDM TAY SU- CHIN (ZHENG SUZHEN),MISS TAN HUI MIN DEBORAH,MDM LER SIAH WOON JULIA,MISS KOH MUI GEK,na,na,na,Learn with Purpose Serve with Passion Lead with Heart,"Nurturing Hearts, Enriching Minds -  With the Community, For the Community.","Jurong Secondary School (JSS) was founded in 1963 at the request of community leaders to our Founding Prime Minister, Mr Lee Kuan Yew, when he made his first visit to the Jurong Constituency. Originally named Jurong Integrated Secondary School, the school offered both the English and Chinese streams. That JSS became widely known for its rich Chinese heritage and strong community partnerships stemmed from this unique history. Since its founding, JSS honours its commitment to the community by offering an all-round education for our students. Innovative programmes guided by our school values of Loyalty, Industry, Sincerity, and Love were introduced to nurture our students' character and cultivate thinking and independent learning, enabling them to pursue excellence in all that they do and grow as concerned citizens with a heart for and who contribute meaningfully back to the community. As a pioneer of the FutureSchool@Singapore project, our school leverages ICT to design a student-centric learning experience that emphasises acquisition of 21st century competencies.",JURONG WEST,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In JSS, we value every student, believing that they can contribute meaningfully to the society in all that they do. Our Special Programmes are designed to nurture their hearts and enrich their minds, for them to become contributing members of the society.   In the area of character development, building on our heritage of sporting excellence, sports was identified as the driver for our Learning for Life Programme (LLP). It leverages participation in sports to build students' physical fitness and nurture strong character and desired values. Project COMpassion, which seeks to grow in our students an appreciation of the needs of the less fortunate in the community, is a platform for them to take initiative to plan and implement meaningful improvement projects to benefit the school and community. And to encourage our students to discover and explore interest areas beyond the core curriculum yet offer them insights on possible post-secondary and career options, the taught modules under our InSPire Programme takes into account emerging trends in different industries.  To complement our students' academic development, we offer our Environmental Studies Applied Learning Program (ALP) and 4-year talent based Research Scholars Programme. While the former promotes critical thinking through exploration of environmental issues and study of environmental sustainability, the latter provides opportunities for our students to broaden their perspectives about social issues and cultivate good team dynamics and skills necessary to positively impact the community in future."
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901 YISHUN RING ROAD,768689,62571996,na,67557706,na,NBSS@MOE.EDU.SG,KHATIB MRT,"39, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",MR SULAIMAN B MOHAMAD YUSOF,MDM KOH HUI HUI,MR ISAAC NEO TENG SING,na,na,na,na,"Leaders of Character, School of Excellence",Every Navalite to achieve personal mastery and impact others positively.,"The school places strong emphasis on both performance and moral character for staff and students, with excellence being a key attitude trait. In NBSS, both staff and the students embrace the core values (ExC2ITe); Excellence, Care, Courage, Integrity and Teamwork, which anchor the way all will behave. This is also reflected in the school's motto: Enitamur in Alitora (Be Our Best - aim to achieve as high as possible, be at one's best and inspire others). The school thus sees excellence both as a value and an attitude while success is the outcome of exhibiting excellence.",YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"NBSS actively applies questioning techniques as a key pedagogical approach to get students to reflect and acquire knowledge. The school offers Talent Development Programme (TDP) for students who show keen interest and potential in cognitive development. As part of the programme, students hone their communication and presentation skills, and gain increased exposure through participation in local and international academic competitions. Students also develop creative academic games and organise competitions for primary school students in the area of English Language, Mathematics and Science. The school uses the Pyramid of Success (PoS) as a key frame for character formation, anchored on the development of moral and performance character traits in every student. Aligned to this, the school's Learning for Life Programme (LLP) is ""Character Education through Sports"" where students learn to play a variety of sports, are given exposure to varied roles in different sports and exercise character traits of PoS. The school offers both Applied Learning Programme (ALP) in Art and Enhanced Art Programme (EAP). Through these, students acquire both breadth and depth of art learning in media such as drawing and painting, character and fashion design, visual communications, ceramic art and digital media. Signature programmes include the annual art exhibition and overseas study trip, an Art CCA and the Art Talent Development Programme (ATDP). Students regularly interact and work with practitioners through artist talks, student-practitioner collaborative projects and the unprecedented Learn to Curate Programme developed in collaboration with the National Gallery Singapore."
OUTRAM SECONDARY SCHOOL,http://www.outramsec.moe.edu.sg,3 YORK HILL,168622,67334077,na,62352337,na,OSS@MOE.EDU.SG,OUTRAM PARK MRT,"174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",MR BOO HIAN KOK,MISS TAN EE LING ELLEN,MR LIM PANG CHUANG,na,na,na,na,Outram - A Hallmark of Distinction,To nurture individuals with a true Outramian SPIRIT,"The school sets out to accomplish the mission of nurturing every individual with a true Outramian SPIRIT. It is committed to the provision of an education that is strongly anchored in developing values and character. For each child that joins Outram, we seek to inculcate in them the school values, 'Sense of belonging - to the school, society and nation, Perseverance, Integrity, Responsibility, Industriousness and Teamwork (SPIRIT)'  The school motto, 'Labor Omnia Vincit', signifies the importance of 'Labour Conquers All'. The motto highlights the school's belief that through hard work, one can overcome difficulties encountered in life. Success in any area requires our students to exercise self-discipline and diligence as well as make necessary sacrifices so as to accomplish tasks set before them.",CENTRAL,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In line with the vision of a 'Good School', we believe in providing our students with rich, rigorous and diverse learning experiences. Besides motivating them with interesting, hands-on activities during instructional programmes, emphasis is also placed on Character and Citizenship Education via CCAs, Social Emotional Learning (SEL), National Education (NE), Assembly and Enrichment Programmes. The formal and informal curriculum offered to all students includes  Sports for Life programmes, and Outram Project Experiential Learning(OPEL), an interdisciplinary project which sets out to develop all students in values, aesthetics, and design thinking skills. As OSS has a long, reputable history in the area of commerce and accounting, our Applied Learning Programme (ALP) is Excellence through Business and Enterprise (B&E). We offer a wide range of business-related courses such as Business Studies, Principles of Accounting, Retail Operations and Advanced Elective Modules (AEMs) in areas such as Marketing and London Chamber of Commerce and Industry (LCCI) International Qualifications.  The School has a Learning for Life (LLP) programme delivered through the Sports for Life framework which comprises three domains, namely Mass Participation, Sports Engagement, and Talent Development. Students are nurtured holistically through the values inculcated through Sports to become well-developed youths of the 21st century."
YIO CHU KANG SECONDARY SCHOOL,http://www.yiochukangsec.moe.edu.sg,3063 ANG MO KIO AVENUE 5,569868,64560669,na,65522927,na,yckss@moe.edu.sg,YIO CHU KANG MRT,"13, 45, 86, 138, 162, 269, 851, 852, 853",MRS LIM CAROL,MISS S G SARAH ABDULLAH,MR LIM HOCK CHYE KEVIN,MR DALBIR SINGH S/O SURAT SINGH,na,na,na,"A Community of Learners, Leaders and Innovators",To nurture students of character who thrive through love of learning and a willingness to grow and lead in meaningful service to self and others.,"The school believes that every member of the school community must strive to be a competent learner, a confident leader and a caring innovator in order to be future-ready. The school's GROWTH Values of Gratitude, Respect, Optimism, Wholeheartedness, Teamwork and Honesty form the foundation for the development of character and leadership. The school programmes are designed to ensure that students are developed holistically, and help each one to live out the school motto, 'Pursuit of Knowledge, Service to All'.",ANG MO KIO,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school's Learning for Life Programme (LLP) aims to grow strong character and leadership through Arts, Media and Design. The programme features the YCK Arts Foundation classes that provide a wide range of opportunities for creative expression in Modern Dance, Drama, Music (Rock & Pop), as well as Short Film Production and Interior Design. Through the design of these activities, students develop confidence, nurture a deeper appreciation of the arts and acquire important collaborative and people skills to lead self and others. Beyond the performing arts, the LLP also has talent development programmes to take the students deeper into creative areas related to technology such as animation. The school offers an Applied Learning Programme (ALP) to nurture inquiring minds and inventive thinkers through technology. In this programme, students are introduced to the world of STEM in the form of Embedded Electronics, learning to develop innovative ideas and integrated solutions for real-life problems in the community. The ALP gives students opportunities to explore the connections between problem-solving skills needed in the real world and academic knowledge related to Science, Technology, Engineering and Mathematics (STEM). Importantly, the ALP encourages students to stay curious and learn about how technology can be applied in new ways to improve the quality of life around us."
YUAN CHING SECONDARY SCHOOL,https://yuanchingsec.moe.edu.sg/,103 YUAN CHING ROAD,618654,62612489,na,62616275,na,YCSS@MOE.EDU.SG,LAKESIDE MRT,"154, 240, 246, 98, 154, 180, 182, 187",MRS CHUAH-KOH ENG NGOH,MISS NG SOOK KIT,MR CASEY MUI CHEE YIN,MR CHEONG LIT SERN WESLEY,na,na,na,"Every Individual a Thinker, an Achiever, a Concerned Citizen","Enriching Minds, Unleashing Potential, Impacting Lives","At Yuan Ching, we believe that every student can become a future-ready, contributing citizen with lifelong passion for learning. We put the child at the heart of all we do and believe we can make a difference in our students' lives.  The Yuan Ching Education leverages strong partnership among educators, parents, alumni and the community to nurture the whole child to realise his full potential. Our student is equipped with strong fundamentals and skills to thrive in a globalised, technology-driven world. He is a critical thinker, reflective learner and team player. He learns to be caring and responsible to his family and community; he understands and plays his role in contributing to the future of Singapore.  Resilient and diligent, our student exemplifies the school's motto of 'Efforts Today, Rewards Tomorrow'. Our community is inclusive and welcoming. Our teachers care deeply for their students and will give their utmost support and guidance to their students. It is a safe, nurturing home for our students, grounded in positive discipline, care and concern that values every individual. Riding on the legacy of resilience, resourcefulness and responsibility by our pioneers, the school spirit inspires staff and students to live these virtues and to build a strong school identity and affiliation. It affirms individual strengths and spurs every student to explore new paths and strive for excellence.  It energizes collective efforts and moves teams towards success beyond expectations.  Our environment is vibrant and provides opportunities for individuals to pursue their interests and achieve peaks of excellence. Students are empowered to lead, serve and inspire their peers. Our students embody our core values of IExCEL (Integrity, Excellence, Compassion, Enterprise and Loyalty). They are creative, motivated, humble and respectful. They make a difference in the community and beyond, and grow to epitomise our vision of 'A Thinker, an Achiever and Concerned Citizen'.",JURONG WEST,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Applied Learning Programme: Marine Robotics enthuses learners by connecting their knowledge and skills learnt in classrooms to the Underwater Vehicle building and Arduino programming activities. In the process, students also acquire Problem Solving and Science, Technology, Engineering and Mathematics skills as they learn to overcome assigned challenges in their projects. Working together in teams, helping each other learn and succeed also help to enhance valuable 21st Century Competencies and instil strong values in them. Learning for Life Programme: gRowing Values Through Sports and Outdoor Experiences instils values and builds character in students through their acquisition of skills in swimming, life-saving and dragon boating. Student Leadership Development: The Leadership Challenge Model enhances students' inter-personal and communication skills, develops leadership competencies and builds teamwork. Overseas cultural exchange and outdoor learning programmes expose students to authentic learning experiences that nurture character and values. Environmental education deepens understanding and develops active citizenry in students who will care for the environment. Aesthetics programmes use a multi-faceted approach to develop in students an appreciation for the aesthetics and to discover their interests and strengths."
BOON LAY SECONDARY SCHOOL,http://www.boonlaysec.moe.edu.sg,11 JURONG WEST STREET 65,648354,67940161,na,67941324,na,BLSS@MOE.EDU.SG,BOON LAY MRT,"99,181,192,193,243,192,193,242,243,257, 502,502A",MR TAN CHOR PANG,MR ABDULATTIF S/O ABDULLAH,MISS SHARON SHEN QIUHUA,na,na,na,na,An extended family which brings out the greatness in every child to be a responsible and passionate learner and leader.,"To care for and guide every child to achieve their aspirations. To inculcate right values in every child to contribute to family, community and nation.","Guided by our school vision, 'An extended family which brings out the greatness in every child to be a responsible and passionate learner and leader', the school adopts the dual emphasis on being an Aspiration-Focussed and CCA-Centric school.  Through the Academic Programme, all students regardless of stream and ability, are assured of a firm foundation in knowledge, skills and values for the next stage of education and life ahead. Our CCA Programme inculcates in our students sound values to form strong character through the exercise of leadership. Our Student Development Programme helps our students discover their passions and work toward their aspirations.  Our culture of care as embodied in our school motto 'To Love and To Forgive' guides us in this extended family, with nurturing and dedicated teachers/staff, and supportive parents, School Advisory Committee, alumni and industry partners, as we care for and guide every child to achieve their aspirations, and inculcate the right values in them to contribute to family, community and nation.",JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school's Student Development (SD) Programme aims to help every student to find and work towards their aspirations. The SD Module Programme are specially designed under the DREAMS domain viz. Digital & Info-com technology; Relation & Business; Engineering, Science & Maths; Arts & Humanities; Media & Design; and Sports & Leisure. Students select the modules of their choice based on their passion or interest. The modules provide students with hands-on learning experiences and allow students to know more about the particular career sector through industrial visits or dialogue sessions with professionals. Within the SD programme, our Applied Learning Programme (ALP) - 'Exploring Possibilities with Materials Science', Learning for Life Programme (LLP) - INSPIRE@BLS (Igniting Students' Passion and Interests through Arts-related Experiences) and Project Work (ASEF/I&E) are mandatory for all lower secondary students. ALP equips students with Design Thinking skills as they explore the use of smart materials to solve everyday problems. Students make use of 3D printers and laser cutter to create prototypes to test their design and ideas. INSPIRE@BLS, contributes to the holistic development of our students by inculcating values, socio-emotional competencies, life skills and a passion for lifelong learning and appreciation for the arts.   The Asia Europe Foundation (ASEF) programme offers online project opportunities for our students to work in collaboration with schools in Asia and Europe such as Italy, India and Netherlands. The Innovation & Enterprise (I&E) programme focuses on developing students in innovative thinking and the understanding of the business process towards creating a social enterprise."
BEDOK VIEW SECONDARY SCHOOL,http://www.bedokviewsec.moe.edu.sg,6 BEDOK SOUTH AVENUE 3,469293,64430563,na,64494286,na,bedokview_ss@moe.edu.sg,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",MRS VALERIE PINTO,MDM CH'NG YUEN PING,MR LAWRENCE KOH,na,na,na,na,"A School Of High Standards, Quality Learning and Holistic Development","To Nurture Students, Transform Lives and Serve the Nation","Bedok View Secondary is a choice school in the East with a successful 40-year history with a high level of academic achievement. Our vision expresses commitment to nurturing students through holistic learning. We set the highest standards for all our students in their academic learning and we also offer a rich array of co-curricular and other learning experiences for our students to develop important 21st century competencies that will enable them to succeed in their lives. Our illustrious alumni include leaders in government and industry, professionals like doctors, lawyers and teachers and other respected members of society who have achieved success in diverse fields like sports, the arts and business. Our students have moved on to Junior Colleges, Polytechnics and ITE and have excelled in their further education, winning accolades for their achievements in these institutions. We also have a strong school-parent partnership.",BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school offers a distinctive Learning for Life Programme: 'Good Values@BV'. Our emphasis is on developing character traits in all our students, as we believe they are critical success factors for the future. On a daily basis, we uphold school rules, regulations, routines and habits, as they help students to develop Integrity, Respect, Responsibility, Service and Excellence. Character development programmes like the 'Values in Action' programme and Student Leadership development programmes are designed to grow students into good citizens in service of the nation.  We also offer an Applied Learning Programme: 'Global Awareness for the 21st Century@BV' which serves to connect academic knowledge and skills with real world knowledge. Through a structured provision of opportunities, students will be exposed to a range of global issues in view of developing skills of critical thinking, problem solving, communication and collaboration. The school focuses on student-centric programmes to nurture the whole child through quality teaching and learning. These include academic enrichment programmes such as Public Speaking, Philosophy and programmes designed to meet the learning needs of segments of students like the 'Improve Confidence and Numeracy Skills in Mathematics' programme, the Applied Theatre Programme, the Inquiry-Based Learning Programme in Geography and the Science Incubation Unit programmes to stretch students' knowledge and skills. Other holistic development programmes includes Annual Level Camps, Affective Learning in PE, Swimming and Internationalisation Programmes to various countries."
HUA YI SECONDARY SCHOOL,http://www.huayisec.moe.edu.sg,60 JURONG WEST ST 42,649371,65634568,na,65634505,na,HYSS@MOE.EDU.SG,"LAKESIDE MRT, CHINESE GARDEN MRT","98, 98A, 99, 157, 187, 198, 334, 335, 502",MISS GWEE SU PIN SANDRA,MR JUSTIN TAN,MDM MANDY CHENG MUN YI,MDM KHOO HENG OI CATHERINE,MR CHAN KAI SUM,na,na,Where Learning Is Vibrant And Teaching Is Dynamic.,"To Nurture Our Students To Be Creative, Independent, Life-Long Learners Who are Confident, Gracious, Humble And Responsible Citizens, Prepared For the Challenges Ahead.","We believe that every student is a gift, with untapped potential. We want our students to realise this potential in a learning environment that is not only nurturing and full of care, but will also stretch them and help them to grow. The school motto, Together We Care and Grow, embodies four main virtues which are also the school values, namely: Benevolence, Justice, Wisdom, and Togetherness.",JURONG WEST,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Since 1956, Hua Yi has developed a comprehensive values-based curriculum focussed on developing Hua Yians to be empathetic, resilient, passionate and glocal (global and local in perspective) citizens. Hua Yi's vibrant school heritage and culture provides a caring, authentic environment for students to participate in a wide range of quality programmes. Our Applied Learning Programme in Healthcare Technologies for the Elderly deepens awareness of healthcare issues facing the elderly in Singapore. It develops in students skills and innovative mindsets through learning journeys, elective modules and school-based experiences integrated across academic subjects. Our Learning for Life Programme in Community Youth Leadership develops in all Hua Yians a range of leadership and socio-emotional competencies through the Leadership Challenge Model and its 5 core leadership practices. Student leaders grow to become confident, responsible and socially aware, and have opportunities to serve beyond the school. These are combined with a range of exciting co-curricular experiences for all students, including a focus on our DSA talent areas of sport, student leadership and the performing and visual arts. Hua Yians have opportunities for cultural immersion in Thailand, Indonesia and Taiwan, and resources are set aside in a Talent Development Programme to ensure that students receive customised support to fulfil their potential. Hua Yi emphasises a student-centric curriculum, with school-wide programmes which develop a sense of belonging, joy of learning and culture of care. These includes our signature Start It Right! activities in January, colourful House programme, Level Learning Programmes and camps, Learning Fiesta, Montage school concert, Drop Everything and Read (DEAR), and semestral post-exam activities. These programmes are enriched by the sustained support of our passionate alumni and committed PSG, providing Hua Yians with a school experience that prepares them for life."
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1 ANG MO KIO STREET 42,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",MRS LIM AI POO,MDM TAN SHAO MAY,MISS ONG HUI CHEE,na,na,na,na,"Active Learners, Gracious Citizens","Inspiring Lives, Nurturing Talents, Realising Dreams","Deyi Secondary School is guided by our philosophy that every child entrusted to our care is a gem and our teachers' role is to help each child unleash his potential and fulfil his dream. We endeavour to develop our students to become self-directed learners who actively seek out knowledge and make meaning of what they learn for themselves so that they are better prepared for the challenges of the 21st century. We strive to nurture concerned citizens who exercise self-leadership and civic-mindedness, show respect, and perform acts of kindness for the betterment of society. Our students manifest deep-rooted values through gracious thoughts and actions, and display a global outlook by embracing diversity and differing perspectives.",ANG MO KIO,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Deyi's Applied Learning Programme (ALP) -ACTIVE VOICE BROADCAST JOURNALISM- introduces students to the basics of Broadcasting & Journalism, which strengthens language literacy, critical thinking and communication skills. The ALP covers Mass Communication & Media, ICT in Information Gathering, Writing & Presenting. Students will have a greater engagement with language learning, thus gaining a deeper understanding of the uses, impact and influence of language in becoming competent, confident and effective communicators. Deyi's AC3TIve Framework also provides impetus to our MIKEMON curriculum innovation project, by adding a fun twist on language acquisition with engagement in pen-it-down and mike-it-up tasks, to foster Joy of Learning across a range of subjects and topics. Complementing the ALP is our Learning for Life Programme which nurtures gracious contributing citizens through our distinctive ARTS EDUCATION with our signature Dance & Drama-in-curriculum modules. Through our Talent Development Programme, students with a deeper passion and aptitude in Music/Drama are further developed to receive accreditation from reputable international institutions and are eligible to pursue Drama O-Levels. Level Camps (NAVIGATION; SYNERGY; CONQUEST; PINNACLE) are part of our CCE programme that provides authentic experiences to acquire and practise school values, and develop physical, social and personal skills. Our YOUTH SOCIAL ENTREPRENEURSHIP is another exciting collaborative platform engaging students with social issues and problem-solving skills to help beneficiaries through hands-on community service projects. We believe that every student is a leader and our Student Leadership Development Programme develops them into confident leaders who contribute actively. Along with learning journeys, field trips, experiential learning, and education & career guidance conducted in partnership with the institutes of higher learning, our students are prepared holistically for the future."
PING YI SECONDARY SCHOOL,https://pingyisec.moe.edu.sg/,61 CHAI CHEE STREET,468980,64489580,na,64442731,na,pyss@moe.edu.sg,BEDOK MRT,"26, 222, 222P, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 401, 854, 60, 87",MR ANG CHEE SENG,MR CHEONG HUEI LEONARD,MDM CHEW SIANG JIUN,na,na,na,na,A School of Distinction in Learning and Service,"To nurture and develop our students to be strong and upright in character, passionate about learning and innovative in spirit so as to serve the community","Ping Yi is well-known for its Restorative Practices (RP), where character development and positive relationships are of paramount importance. We believe in the justice of restoration, participatory learning and responsible decision-making. Our teachers engage our students through relational and innovative teaching strategies, and nurture them through their adolescence, better preparing them for life. The team of very dedicated staff believes in creative and fun ways to help students learn more effectively. Lessons are crafted in an exciting, experiential, authentic and meaningful way.  By believing in our students, creating opportunities for them to discover their talents, and developing their abilities to the fullest, the teachers give them confidence to dare to dream and courage to turn their dreams into reality.  This has led to very good educational outcomes over the years.",BEDOK,EAST,EAST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Design and Aeronautical Engineering @ Ping Yi (our distinctive Applied Learning Programme) provides our students the opportunity to be trained extensively in the Design Protocol, a design process skillset that gives students a structured approach towards enhancing their critical thinking skills in design principles and developing ideas and solutions. They learn the Art and Science of Flight: from Aerodynamics (the theory of flight), to Aeronautics (the movement of planes in the air) and Aircraft Design (flying with style). Design and aeronautical fundamentals have also been integrated into the Maths and Science curriculum to deepen students understanding. In partnership with Polytechnics and industry partners, and through our own series of authentic learning experiences and workshops, our students experience the challenges of design and production in a fun and dynamic way. Elements of entrepreneurship are introduced to allow students to conduct feasibility and scalability studies, and to communicate their proposals effectively.  Our Leadership through Character and Citizenship Education (our distinctive Life-long Learning Programme) programme provides opportunities for our students to develop desired character traits like resilience, tenacity, initiative, team spirit and an orientation towards excellence. Annual level camps, values in action activities, work experience, local and overseas service learning, the NYAA platform and leadership modules provide ample opportunities for students to further develop their competencies and to serve the community."
PEICAI SECONDARY SCHOOL,http://www.peicaisec.moe.edu.sg,10 SERANGOON AVENUE 4,556094,62884159,na,62830480,na,peicai_ss@moe.edu.sg,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",MR LIM KOK HWA,MDM CHIN YIH MIN,MISS TAN LI PING,MR SHUE PEI YAN,na,na,na,"Critical Minds, Compassionate Hearts","To nurture critical and independent learners with love for self, family and society","Peicai Secondary (PCSS) develops students to be future ready Peicaians of Character, imbued with the values of Perseverance, Respect, Responsibility, Integrity, Discipline and Empathy. PCSS is committed to provide Peicaians with positive and enriching experiences in a conducive and safe learning environment where they are allowed to learn and grow. Our Instructional, Character and Leadership programmes enrich, enhance and enable our students in the 3 domains of the Head, Heart and Hand. Platforms are provided for Peicaians to contribute to the school, local and global community through student-initiated and teacher-facilitated activities to hone their leadership and 21CC skills, and to make a difference to themselves and the lives of others.",SERANGOON,SOUTH,SOUTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school leverages on its Learning for Life Programme (LLP) - Becoming Person for Others; Leadership Through and For the Community - to develop character traits and leadership skills of Peicaians as responsible citizens of the future. Students are empowered to plan and implement charity drives for their financial needy peers, health-enhancing and well-being programmes for senior citizens and other social leadership activities for the wider community. The second distinctive programme for PCSS, the Applied Learning Programme (ALP) in Food, Health and Sports Science aims to expose Peicaians to experiential learning in food processing, food technology, fitness, lifestyle and healthcare. Together with our student leadership framework, we hope to mould Peicaians of Character who truly live up to the school vision of Critical Minds, Compassionate Hearts."
