buildingId,location,buildingType,maxOccupancy,units
297,"POLYGON ((-2213.0215488060708 3301.5198483981044, -2219.9775174249003 3523.742915492714, -2180.10057555941 3526.878120024524, -2172.7642844169454 3433.567188495757, -2175.110469313649 3263.4375825205784, -2280.512149199349 3257.955514246767, -2282.589789077336 3297.9015204618745, -2213.0215488060708 3301.5198483981044))",Commercial,,"[871,872]"
298,"POLYGON ((90.51265541416069 953.2339529652304, 130.50809459585324 952.6299292376074, 129.51468113368318 886.8510435887675, 163.49271442797732 892.4887080611658, 170.04003763631138 853.0281890731239, 88.79573529900301 839.5480646378836, 90.51265541416069 953.2339529652304))",Residental,3,[294]
299,"POLYGON ((653.3371831030603 4161.8399674126995, 665.8262329981875 4105.250391494046, 716.958310493812 4103.659076300286, 719.4866815345758 4206.866013852085, 676.1735795369191 4210.740011668586, 679.7370227944169 4250.580968887893, 759.9022129906175 4243.410857363759, 755.1986355271681 4062.5427767742144, 633.464378514841 4066.279491288271, 593.4238805897637 4262.401792924618, 679.2697641048076 4250.633861857151, 673.8372860888726 4211.004476514877, 643.1517738612312 4215.2109099264635, 653.3371831030603 4161.8399674126995))",Commercial,,
300,"POLYGON ((-3940.991449501791 5672.170766793379, -3898.9585339765586 5671.278182649395, -3899.807756972082 5631.287198411646, -3981.628723306317 5633.024696186492, -3980.249453792771 5718.44849908769, -3940.2546667668025 5717.802735394525, -3940.991449501791 5672.170766793379))",Residental,6,"[1384,1456]"
301,"POLYGON ((547.8364526282852 1960.614754317152, 587.8363276403695 1960.5147592290725, 587.6053221968496 1868.1083316195964, 547.6054471847652 1868.2083267076757, 547.8364526282852 1960.614754317152))",Residental,9,"[112,173,336]"
302,"POLYGON ((828.4819189569027 2021.191804119793, 828.397708843834 2013.1412594901706, 870.1078248533969 2012.1806010528785, 869.186797693986 1972.19120609657, 787.9867382719339 1974.061388432542, 788.8864600358266 2060.0754068266288, 964.8143429798245 2063.389480285689, 965.2308061439331 2023.3916483640344, 828.4819189569027 2021.191804119793))",Commercial,,
303,"POLYGON ((-2019.1062261635639 733.4686853810277, -2022.08124671957 921.8127836085586, -1982.111759689057 923.3748676388404, -1980.8160531460144 616.6248518254581, -2020.8117495016975 617.2115996622699, -2019.1062261635639 733.4686853810277))",Residental,,
304,"POLYGON ((612.0002887910533 2045.5309935723699, 699.1115891823083 2050.180606933061, 704.132115437149 2013.7949290724082, 699.7677115972416 2050.237344483787, 768.8690231937957 2058.513031654086, 767.9873542179791 1974.2248721954768, 681.389578155697 1973.6405666884964, 681.1498826896176 2009.1649525563623, 650.1917116929865 2007.512543226666, 647.6107171815385 1870.1914283226763, 657.8699984921601 1752.2456548376374, 660.5325480270344 1734.3906596377872, 689.9122058944524 1735.7200010772756, 694.4165541937152 1636.1697967302662, 633.8375619379522 1642.2015300595651, 607.6063761962041 1868.5049519425963, 612.0002887910533 2045.5309935723699))",Commercial,71,"[423,430,445]"
305,"POLYGON ((-3715.071786666548 6497.493155022161, -3755.15521628897 6496.719000009915, -3751.3373389680455 6576.125024745003, -3644.601493530561 6584.013859794557, -3647.6810372903824 6498.79471247121, -3715.071786666548 6497.493155022161))",Commercial,,"[1759,1771]"
306,"POLYGON ((1941.1722915100036 3995.6999835108136, 1908.86305870231 3996.8030960953915, 1941.0657066960564 3994.7487599683186, 1934.031369602115 3884.482344302292, 1894.112515528212 3887.028928176118, 1899.9098419087595 3977.904641394306, 1867.0513944805914 3981.293310874135, 1875.7649226552583 4065.784586622755, 1954.2883227205928 4077.253450808741, 1941.1722915100036 3995.6999835108136))",Commercial,,
307,"POLYGON ((-1145.129489989102 2416.663443166956, -1142.2688275660696 2376.765866667857, -1249.815451042903 2369.0547570842677, -1252.6761134659355 2408.9523335833665, -1145.129489989102 2416.663443166956))",Residental,8,"[497,541,650]"
308,"POLYGON ((450.2547521775786 1162.3283339390273, 384.68081039594443 1170.4660544303115, 377.67763142901407 1226.680631176498, 441.55634301815206 1211.3429518876458, 450.2547521775786 1162.3283339390273))",Commercial,82,[446]
309,"POLYGON ((2078.946607527169 4494.330476835018, 1892.666071604123 4507.9016290848, 1896.2495338394335 4547.740790702586, 2077.2236878291774 4534.40505727821, 2153.009415318277 4543.3571644066415, 2148.475715187695 4621.548913031268, 2117.5251129289445 4796.406055442566, 2156.8542443712668 4803.701219593738, 2188.2808610998673 4626.068182923094, 2195.1235528950697 4508.053752908828, 2078.946607527169 4494.330476835018))",Residental,5,"[55,116]"
310,"POLYGON ((-4373.700661728579 6643.965300090314, -4370.839541702873 6683.862843776592, -4241.331055282212 6674.575572186376, -4244.192175307918 6634.678028500098, -4373.700661728579 6643.965300090314))",Residental,13,"[1435,1639,1654,1668]"
311,"POLYGON ((-1101.2495288933324 4274.79968214148, -1141.3245148277986 4277.452619858422, -1142.9024879945011 4343.355782363431, -1084.0177306589176 4341.871159391194, -1077.0032477804525 4273.194594275321, -1101.2495288933324 4274.79968214148))",Commercial,,
312,"POLYGON ((-1837.5977805374157 2631.5953590930267, -1837.0013937337947 2591.599805305381, -1998.4826390937085 2587.4600469204174, -2000.0170083017526 2627.4306074760743, -1837.5977805374157 2631.5953590930267))",Residental,7,"[684,762]"
313,"POLYGON ((-3559.884896724893 5963.395080627726, -3599.7212022756166 5967.010154633798, -3590.802026081164 6065.295010641214, -3550.9657205304406 6061.6799366351415, -3559.884896724893 5963.395080627726))",Commercial,,
314,"POLYGON ((-3572.360582694326 6352.6641521517495, -3594.3159620345987 6351.963993149314, -3596.5180516266532 6308.897346870161, -3636.465864031984 6310.939963826051, -3632.383966653513 6390.770335478815, -3529.766161317247 6394.042826429794, -3534.0885681229042 6323.076722858266, -3574.014578119971 6325.50853817077, -3572.360582694326 6352.6641521517495))",Commercial,,
315,"POLYGON ((-883.4919323824281 1550.2301587702082, -881.704458207108 1523.7632532102245, -921.6135463244983 1521.0679451316607, -926.3099188143043 1590.6065425997554, -844.5919780573648 1589.8911410487276, -844.9421455389212 1549.8926737939082, -883.4919323824281 1550.2301587702082))",Commercial,,"[392,417,427]"
316,"POLYGON ((-4624.666595208573 6983.183473267542, -4623.150583730177 7023.154734308411, -4456.851558259413 7015.581714146991, -4458.9465671533035 6975.636615101745, -4624.666595208573 6983.183473267542))",Residental,5,"[1405,1582]"
317,"POLYGON ((1252.2584914095676 1299.3670502958112, 1292.2458104427772 1300.3741831253506, 1294.6103270627998 1206.4931401576528, 1254.6230080295904 1205.4860073281134, 1252.2584914095676 1299.3670502958112))",Commercial,,[422]
318,"POLYGON ((-1649.92389847085 6046.152184000409, -1688.0689182236865 6046.070759470884, -1687.5054517145 6129.975987788102, -1610.8296714181972 6129.503729411093, -1609.9224546805724 6046.2375712609755, -1649.92389847085 6046.152184000409))",Residental,21,"[936,991,992,993,999,1016,1026,1141]"
319,"POLYGON ((23.636742577409713 1165.842336202549, 63.62120131255933 1166.957262055293, 66.39890559598076 1067.3407700477321, 26.414446860831156 1066.225844194988, 23.636742577409713 1165.842336202549))",Residental,4,"[82,280]"
320,"POLYGON ((925.8436075634315 3857.646918884197, 942.0550366758819 3676.345793451758, 782.2532909750743 3675.1470064074138, 782.3394573433071 3715.1469135992684, 899.8371742433678 3715.555665723966, 889.2423610860845 3826.124392265489, 831.4563272764191 3841.787358264664, 841.920777591551 3880.3942913156347, 925.8436075634315 3857.646918884197))",Commercial,,
321,"POLYGON ((-4092.9186448295045 7140.765090155419, -4097.662404734414 7101.0473769538185, -4190.451448065818 7112.12981115984, -4190.476813288468 7189.326040018581, -4106.875094428786 7189.632805348074, -4106.728320765031 7149.633074630334, -4150.463113233927 7147.63802215381, -4092.9186448295045 7140.765090155419))",Residental,4,[1715]
322,"POLYGON ((-3500.345153380763 5495.572642812009, -3499.971054302928 5455.574392226765, -3596.7964640982273 5454.66879520726, -3597.170563176062 5494.667045792504, -3500.345153380763 5495.572642812009))",Commercial,,
323,"POLYGON ((1237.8547377918596 3749.291494961393, 1237.6252759093022 3659.5498227135527, 1150.4010730710586 3661.868710877196, 1150.1164805156152 3746.9133034485453, 1237.8547377918596 3749.291494961393), (1190.2709410833286 3700.8228886215065, 1197.730169846904 3700.624582225725, 1197.7495132921272 3708.189730310575, 1190.246969265884 3707.986369917038, 1190.2709410833286 3700.8228886215065))",Commercial,,[428]
324,"POLYGON ((-142.82856281164436 4977.794218584076, -182.8132537062084 4976.687649984208, -184.11046592286158 5023.561047181392, -190.90964293103033 5023.599689641197, -187.7064445159278 5002.099091427101, -227.26978839807742 4996.204872152012, -237.3498097085105 5063.86427381859, -145.19604037485712 5063.340526852876, -142.82856281164436 4977.794218584076))",Commercial,,
325,"POLYGON ((-550.2774757200355 3980.79988641677, -543.7242159331024 4048.9007015464417, -468.9942610033894 4046.707211069098, -461.2195604203834 3981.5034905916737, -550.2774757200355 3980.79988641677))",Residental,8,"[1151,1207,1228]"
326,"POLYGON ((109.37678295735523 1502.7059872412437, 116.63440740199073 1338.8780751846332, 151.46906408684862 1341.0714129257444, 156.17541925083876 1266.3249371314862, 81.30904065192874 1269.16726976916, 69.99240928612905 1540.343807964352, 154.3949558310192 1545.570258827938, 156.86713683967335 1505.646727908686, 109.37678295735523 1502.7059872412437))",Commercial,,
327,"POLYGON ((2227.539143943172 4751.615248890836, 2230.8245279321345 4733.903337813459, 2191.4953964898123 4726.608173662287, 2178.8570505741122 4794.743058283391, 2260.0126280447175 4789.659529197799, 2257.51195690472 4749.737772675202, 2227.539143943172 4751.615248890836))",Residental,1,[127]
328,"POLYGON ((2403.229263972958 4404.717010136708, 2443.2291433035466 4404.618757715046, 2443.0134176161055 4316.793935485428, 2403.013538285516 4316.89218790709, 2403.229263972958 4404.717010136708))",Residental,5,"[125,319]"
329,"POLYGON ((-3785.498722962768 6137.308128927495, -3809.346876201877 6299.863667770018, -3769.9917687723046 6307.017374446058, -3745.3355247160007 6138.0170033560735, -3752.162585128297 6046.223074109917, -3966.8334699204465 5994.6289690941385, -3975.538906617915 6033.670170047827, -3789.9263192659423 6077.776436333697, -3785.498722962768 6137.308128927495))",Commercial,,
330,"POLYGON ((-2457.5196546237694 6232.449571652637, -2459.582553153334 6192.50280144957, -2570.8312495264863 6198.247815902491, -2568.7683509969215 6238.194586105558, -2457.5196546237694 6232.449571652637))",Residental,6,"[1165,1252]"
331,"POLYGON ((-3257.273222415763 7176.448663070657, -3256.978390877815 7136.449749655862, -3337.5395888872195 7135.855933977377, -3337.8344204251675 7175.854847392172, -3257.273222415763 7176.448663070657))",Commercial,,[1742]
332,"POLYGON ((-129.2865612828022 4635.573872060542, -125.8099451065184 4595.725244230179, -178.58841360027438 4591.120556758731, -179.03152495127145 4558.945474611526, -61.24265284358643 4521.120420494538, -79.34985048740397 4628.891507571019, -39.902754826365 4635.519225421746, -12.11635925183018 4470.139130947148, -105.89910979131812 4489.493414222956, -219.4179798629511 4531.159739114969, -218.0866975274835 4627.826453719346, -129.2865612828022 4635.573872060542))",Residental,10,"[1033,1034,1048,1115]"
333,"POLYGON ((-1963.8717465078973 5267.302505158812, -1964.8027641211845 5307.2916687685165, -1861.4617443471552 5309.6976283060485, -1860.530726733868 5269.708464696344, -1963.8717465078973 5267.302505158812))",Commercial,,"[1293,1333]"
334,"POLYGON ((-1487.576437129841 898.1744454966765, -1448.163033530424 904.9996646660113, -1430.0260346821412 800.2644410850212, -1534.644962929094 821.747687946028, -1526.5989476779685 860.9301028611229, -1479.450223451242 851.2482250334956, -1487.576437129841 898.1744454966765))",Residental,2,[109]
335,"POLYGON ((-2111.3136124334665 4516.933205973715, -2034.8077013901543 4512.1985848551385, -2035.7446366537995 4438.279358316547, -2114.074542533793 4425.551335052131, -2111.3136124334665 4516.933205973715))",Commercial,,
336,"POLYGON ((-1987.3901926033998 4931.484113903934, -2027.6124517903986 4933.638758968143, -2033.6053930023288 5026.502066712317, -1965.804957946306 5016.105872871282, -1960.2500201662654 4930.0302562697425, -1987.3901926033998 4931.484113903934))",Residental,11,"[566,622,648,817]"
337,"POLYGON ((-2244.6372138577817 2513.2055362912765, -2245.7464771094164 2538.7707704442328, -2205.7840770368994 2540.5047198218267, -2202.7939969754334 2471.5922260609273, -2296.7213301996508 2475.149330308163, -2295.2075828933957 2515.120677159286, -2244.6372138577817 2513.2055362912765))",Residental,14,"[486,604,627,736,754]"
338,"POLYGON ((-1435.728516656352 5137.7259380273545, -1395.7953387429345 5140.037063669849, -1392.2869831904097 5079.417344911818, -1344.7908396343355 5075.223815198922, -1348.308834202856 5035.378819098836, -1430.2237710061218 5042.611253054425, -1435.728516656352 5137.7259380273545))",Commercial,,
339,"POLYGON ((-1599.027282033359 4120.275694203073, -1574.6219547411938 4119.3981514379275, -1578.0045484729026 4025.3248932473443, -1632.191148412391 4029.155536075776, -1639.2057177694064 4121.090555987671, -1612.5687860623318 4123.122932824011, -1610.063434104676 4174.749572484649, -1649.8587937527666 4172.050987378115, -1652.5650407637977 4211.959335215569, -1566.249942809576 4217.812495982756, -1574.592321267844 4119.887655243461, -1599.027282033359 4120.275694203073))",Commercial,,[887]
340,"POLYGON ((1066.108381040367 709.3829094037337, 1105.7151133168045 703.7876651389505, 1089.2875078226925 587.5025233367568, 1049.680775546255 593.09776760154, 1066.108381040367 709.3829094037337))",Residental,8,"[1,171,238,350]"
341,"POLYGON ((370.4925380604497 890.2165222247369, 367.6162255484067 850.3200709247394, 253.39381409372447 858.5548722796872, 256.2701266057675 898.4513235796846, 370.4925380604497 890.2165222247369))",Residental,,
342,"POLYGON ((298.33772478841456 4958.413417763478, 295.1806247602136 4918.538203414061, 192.6415730366624 4926.656681229663, 195.79867306486332 4966.53189557908, 298.33772478841456 4958.413417763478))",Commercial,,
343,"POLYGON ((-566.958037332724 4258.843207469995, -562.9996040935289 4298.646860647697, -528.7218318597746 4295.237970705613, -531.8635402913648 4323.110347942534, -492.11524959258975 4327.590681247732, -483.429875060893 4250.536415817743, -566.958037332724 4258.843207469995))",Commercial,,[1318]
344,"POLYGON ((169.2334644243811 1009.6111260731784, 169.40586963533272 1049.610754526993, 265.4674972599366 1049.1967125517258, 265.29509204898494 1009.1970840979111, 169.2334644243811 1009.6111260731784))",Residental,,
345,"POLYGON ((1773.4536646438996 4626.164955756384, 1813.308369258667 4629.571202968441, 1819.7879598397324 4553.756926271516, 1895.6901272823304 4547.787944019642, 1892.5541902927025 4507.911059748211, 1782.822907511353 4516.540379588024, 1773.4536646438996 4626.164955756384))",Commercial,,
346,"POLYGON ((-3504.6621154169443 7286.0876460120335, -3536.4306258879587 7283.560316806602, -3542.49171299126 7359.748139387488, -3472.0294605100826 7350.084187236501, -3462.995615664827 7274.533587193314, -3495.9446126305616 7270.59376241065, -3494.9220444618745 7241.246768048937, -3390.8172151553017 7237.132785063935, -3395.1727284518624 7304.930487010718, -3406.279750681186 7305.57348196974, -3403.4200043763967 7281.657247741784, -3443.1370785686845 7276.90814070947, -3451.66983692113 7348.268123595315, -3357.699811666646 7342.828118948682, -3348.489945678784 7196.110217609483, -3533.626322272907 7203.363773893367, -3536.4051957013835 7283.115506183348, -3504.6621154169443 7286.0876460120335))",Residental,9,"[1464,1604,1676]"
347,"POLYGON ((1025.564209497074 3753.2210429878096, 997.8854488735595 3753.777071892196, 1000.110710698544 3713.3331299922243, 1042.2016712503716 3710.3796262633196, 1039.4017738361265 3670.4777394098173, 962.1097439669172 3675.901286305409, 957.6241960973189 3757.4257322787885, 985.7185996372376 3761.308217147175, 957.5722512412423 3758.0324018889746, 946.3503570417935 3854.4527793843185, 1027.4495614420175 3847.072648117532, 1025.564209497074 3753.2210429878096))",Commercial,,"[390,406]"
348,"POLYGON ((-1745.4965110188546 5125.937727383218, -1744.0321178050815 5018.926134111787, -1842.399091989013 5023.13634369034, -1848.3646286261949 5130.719723717731, -1745.4965110188546 5125.937727383218), (-1804.4676653322028 5061.549460708893, -1784.6075067988677 5060.699425111251, -1784.9774031120235 5087.729865735902, -1805.973499779607 5088.705904372934, -1804.4676653322028 5061.549460708893))",Commercial,,
349,"POLYGON ((-1056.758494487814 4271.8170222383, -1064.92432371775 4351.7660523452105, -1059.0174552206133 4427.453094645665, -978.0853273631634 4432.213973587968, -979.8991301086438 4353.8021364692195, -1019.8884328473506 4354.727158886275, -1021.852331611309 4389.570205210183, -1020.3836324437998 4309.347050808171, -968.505019760233 4306.026814773215, -969.6081437468629 4343.575193624615, -880.6656409318954 4346.188212116688, -886.8350165234741 4269.69465978433, -1056.758494487814 4271.8170222383))",Commercial,,
350,"POLYGON ((-1651.4370899068026 1774.0807775937938, -1655.3669505662274 1690.3547187558715, -1720.5197204301858 1690.5344257786057, -1727.9535311905627 1777.3607932837247, -1651.4370899068026 1774.0807775937938))",Residental,,
351,"POLYGON ((1482.6731646257567 4386.848813343891, 1522.6731490932864 4386.884063838806, 1522.7735599474636 4272.944312999769, 1444.0567519525673 4285.114620511226, 1438.71021584719 4382.549488555482, 1478.6501307463943 4384.741108468769, 1482.7324194401506 4319.610277795335, 1482.6731646257567 4386.848813343891))",Commercial,,[397]
352,"POLYGON ((-208.4272136741476 3694.359465814092, -210.0551709001843 3735.755319791738, -140.35055618860164 3729.9153540055804, -136.63816975353785 3645.998608974166, -206.837091309179 3653.9256803472085, -208.4272136741476 3694.359465814092))",Commercial,,[1303]
353,"POLYGON ((-1193.2646837969023 1410.4362475252797, -1162.6798904760597 1496.6932679539264, -1124.9796773760763 1483.3256229774975, -1133.0408839490783 1460.5909373854543, -1052.697775460242 1473.4580497405786, -1046.3723004786818 1433.961361698951, -1193.2646837969023 1410.4362475252797))",Residental,2,[114]
354,"POLYGON ((964.1896482336614 2123.3862281681713, 964.6061113977701 2083.3883962465165, 870.0483849190072 2082.4038476330466, 869.6319217548985 2122.4016795547013, 964.1896482336614 2123.3862281681713))",Commercial,,[413]
355,"POLYGON ((1147.7079327873191 3297.667658515041, 1146.201395097508 3127.1952910765303, 1106.209546854101 3128.0028021144135, 1107.7083555538688 3296.0821875327197, 1098.3674475769797 3384.4195616724833, 1138.1456811561777 3388.625763441155, 1147.7079327873191 3297.667658515041))",Commercial,,
356,"POLYGON ((-508.3188717786241 5349.379567420247, -506.41778815450766 5366.679440796074, -414.4383272827208 5367.56950112069, -414.2014114746345 5343.0864546382045, -238.52808937831637 5347.683374395619, -237.11980358076232 5307.708172943813, -413.1148258844478 5302.901370500437, -501.4060913801938 5309.331716975362, -500.13834911738456 5326.7383324885905, -502.0983037043344 5309.358075350887, -588.6097197869937 5309.653723931139, -589.5051472894243 5372.142316658472, -507.1740498045371 5366.700743270813, -508.3188717786241 5349.379567420247))",Commercial,,
357,"POLYGON ((-973.2588164050754 6076.479136752689, -933.2851139179936 6075.028926604375, -934.9541308476472 6029.024017405915, -889.930645087644 6031.047715317508, -888.1345542305301 5991.088059943205, -976.5008234893589 5987.11620766354, -973.2588164050754 6076.479136752689))",Commercial,,
358,"POLYGON ((-3631.863512245807 5668.756963857837, -3628.535064695554 5687.424510375806, -3663.902922578107 5680.120579348372, -3671.9927470584744 5719.293972613149, -3578.78997321193 5738.541579691903, -3597.8104731969456 5631.865400210484, -3686.9556972929518 5623.2388877182675, -3690.8084683278635 5663.05290730123, -3631.863512245807 5668.756963857837))",Residental,15,"[921,935,1020,1078,1135,1148,1188]"
359,"POLYGON ((-1431.626457840919 1299.2466826623543, -1391.7032507771032 1296.769277217198, -1394.0658824706416 1258.6956407435741, -1322.8692525923652 1266.852024995014, -1318.3165753352616 1227.1119554204317, -1436.9460653859983 1213.5215971961668, -1431.626457840919 1299.2466826623543))",Residental,7,"[87,310]"
360,"POLYGON ((1210.2999675070441 1823.0074805666366, 1250.2342545267948 1825.2993619388237, 1256.6095441721423 1714.2147963845425, 1216.6752571523916 1711.9229150123554, 1210.2999675070441 1823.0074805666366))",Residental,4,[8]
361,"POLYGON ((545.4212961466048 4286.093527611074, 505.4620860732234 4288.205539306368, 507.4473106958521 4366.235137500207, 562.8709279541876 4364.711061331216, 570.0062042069428 4284.794112200814, 545.4212961466048 4286.093527611074))",Residental,2,[192]
362,"POLYGON ((-4388.3222269774515 4658.615014719218, -4385.643225510968 4618.704828661739, -4476.594635665842 4612.599646369861, -4479.273637132326 4652.50983242734, -4388.3222269774515 4658.615014719218))",Residental,12,"[1376,1471,1546,1634]"
363,"POLYGON ((-1438.3496792139467 1009.7048825159258, -1444.5195605518345 1109.5363337044614, -1438.3061987098395 1193.234963159529, -1325.1783356835456 1206.195047393351, -1303.4888467237192 1097.851578189914, -1342.7106253699526 1089.9996943506135, -1357.1780543337854 1162.2674848596107, -1400.8665490898472 1157.2624705603848, -1398.477828130696 1012.9674589504705, -1368.4032329905945 796.0500190595709, -1407.8166365900115 789.2247998902361, -1438.3496792139467 1009.7048825159258))",Residental,2,[31]
364,"POLYGON ((205.85833156128234 1674.4629433719954, 168.16642811260604 1674.456376959674, 173.28272610004902 1765.90136854881, 242.36595482533602 1767.9854719112475, 245.88640281316333 1674.4699167746685, 205.85833156128234 1674.4629433719954))",Commercial,,
365,"POLYGON ((589.8503764643705 2754.370574483848, 629.8103361975601 2756.1598810874957, 634.2403515083845 2657.2258956670703, 594.2803917751949 2655.4365890634226, 589.8503764643705 2754.370574483848))",Residental,,
366,"POLYGON ((-2083.452536493129 2727.668439179896, -2084.4174924819845 2756.222519466441, -2084.4175101783753 2750.1448442367864, -2140.1431406070296 2750.1450064933224, -2137.231543179067 2733.760579822514, -2176.6145361343374 2726.7620181213388, -2187.878045948349 2790.1451454834023, -2084.4173937102187 2790.144844236617, -2084.4174591833157 2767.6586647456147, -2044.0680778726496 2769.0222308892835, -2038.4287599777433 2813.414712795088, -1998.7476540766766 2808.37389594974, -2008.6789245819855 2730.19533704871, -2083.452536493129 2727.668439179896))",Residental,5,"[483,531,821]"
367,"POLYGON ((1239.6009458165133 294.6711927008313, 1199.7240432130102 297.80689656929945, 1206.2198351643683 380.41420703049596, 1246.0967377678714 377.2785031620278, 1239.6009458165133 294.6711927008313))",Residental,,
368,"POLYGON ((830.1358199431567 420.0634522538167, 831.973942719981 385.7594954619593, 755.6899731565654 384.244673583702, 757.7721156154973 463.5999779298958, 827.9844327080309 460.21370537445466, 830.1358199431567 420.0634522538167))",Residental,3,"[123,184]"
369,"POLYGON ((717.4688199022928 4307.445689018282, 715.1417241765738 4358.8344662806085, 755.1007741101098 4360.643976824699, 759.4986406641609 4263.526792396997, 590.243734596144 4283.0247742335405, 582.8462366711544 4466.934477840309, 655.4331154351437 4469.6524295561, 658.7996582255361 4367.88060797343, 622.9325430977116 4366.69414814626, 627.2510438931333 4318.325816471078, 717.4688199022928 4307.445689018282))",Commercial,,
370,"POLYGON ((-315.47374828233984 1720.9316369248565, -295.82906663514626 1722.8929114921032, -291.85532441503324 1683.0907837503844, -372.15952012851295 1675.0734190750684, -352.1106326159005 1737.682221341625, -315.47374828233984 1720.9316369248565))",Commercial,,
371,"POLYGON ((-433.6800859342624 1460.6057700983, -473.4032060979489 1465.3040383389741, -462.1077469508009 1560.8053716008196, -422.3846267871145 1556.1071033601454, -433.6800859342624 1460.6057700983))",Residental,,
372,"POLYGON ((-1558.3772626621837 4014.3590967144423, -1546.0089707189052 4219.7907078905155, -1242.9003855608087 4254.752632546309, -1151.2529292506802 4258.066098742875, -972.8090442037989 4245.836671565249, -975.6277710631141 4205.93611043019, -1151.8529737784838 4218.018270052524, -1240.5509593644883 4214.811440438528, -1508.858573651323 4184.640632023443, -1517.6661094344392 3972.1138940725373, -1479.5743806253367 3973.1097217160122, -1478.5290224338953 3933.123383720997, -1556.9862158547435 3931.072286422959, -1558.3772626621837 4014.3590967144423))",Commercial,,
373,"POLYGON ((-2398.283198769215 2647.358206849787, -2397.452468812882 2698.8036393644857, -2328.066778626826 2706.053560482548, -2328.171830687304 2641.8512327018334, -2398.283198769215 2647.358206849787))",Commercial,,[845]
374,"POLYGON ((-840.9487871597997 1550.017344504256, -843.7933063815406 1589.9160751907973, -744.5721314888829 1596.989897699168, -741.727612267142 1557.0911670126268, -840.9487871597997 1550.017344504256))",Residental,3,[343]
375,"POLYGON ((-853.4643324867429 4977.1389621902335, -756.335499711667 4984.641089383707, -769.7377574540578 4830.219732893816, -858.1917340377679 4819.492343761146, -855.7699516532595 4898.416204024481, -815.7887698078584 4897.189379568836, -816.7824121470998 4864.807407664316, -804.6222456053175 4866.282150162618, -798.6279119383834 4904.926241089464, -797.5883093389227 4941.33562685506, -814.5341124878224 4940.026751138278, -815.7866775796768 4897.25915222061, -855.7695332076232 4898.430158554836, -853.4643324867429 4977.1389621902335))",Commercial,,"[855,886]"
376,"POLYGON ((-4115.907725274131 5778.602436576803, -4058.561335060023 5790.461738976813, -4050.4606925925323 5751.290581327161, -4098.182534056523 5741.421647172913, -4110.3472463319185 5662.622188262799, -4093.630583174187 5666.264674590631, -4085.114580710252 5627.181715362417, -4152.903300338642 5612.410855765746, -4148.75778227155 5695.463800728866, -4131.917937567556 5775.291505437681, -4115.907725274131 5778.602436576803))",Residental,14,"[1462,1519,1603,1627,1638,1703]"
377,"POLYGON ((2298.551567767575 4080.772818005845, 2298.4143025016424 4040.773053528453, 2208.0906447758316 4041.0830128759567, 2208.227910041764 4081.0827773533483, 2298.551567767575 4080.772818005845))",Residental,8,"[44,74,199,322]"
378,"POLYGON ((-4478.157641944364 7478.8298808842155, -4544.422830562908 7485.78289630147, -4548.593378946492 7566.68582806711, -4481.552021421026 7566.529923449877, -4481.645041133889 7526.530031608361, -4506.234533507994 7521.957770864833, -4476.9488130242125 7518.852399803014, -4435.872243611346 7519.46597440869, -4435.4965145022825 7527.173501203915, -4480.82436583597 7526.534858459329, -4481.387886361443 7566.530888820072, -4393.470022429358 7567.769599772999, -4397.7471332145515 7480.030999840627, -4478.157641944364 7478.8298808842155))",Residental,17,"[1428,1530,1557,1621,1630,1685]"
379,"POLYGON ((2550 4200, 2590 4200, 2590 4110.404097649382, 2455.4823511110076 4115.734359816792, 2457.0661083359373 4155.702993932215, 2550 4152.0204882469125, 2550 4200))",Residental,,
380,"POLYGON ((-1463.882908701284 1923.8710205902103, -1459.0941425843857 1884.158708657037, -1590.058440933322 1868.3661908224651, -1590.3191853751448 1844.2478353190509, -1516.958053503112 1858.292419591781, -1509.4368632836092 1819.0058863051438, -1630.8456960306598 1795.7628345765513, -1629.676853320229 1903.8785198837763, -1463.882908701284 1923.8710205902103))",Residental,3,"[92,156]"
381,"POLYGON ((211.95860159075235 1335.1836221963747, 251.84365491914912 1335.736609814121, 252.84877618010833 1263.2407458773055, 176.2591298761654 1265.6244620318798, 171.42953662069073 1342.3282089417053, 211.35048168837494 1344.8418009736267, 211.95860159075235 1335.1836221963747))",Residental,2,[107]
382,"POLYGON ((1652.241703067202 4574.753062791409, 1648.7493883820391 4534.905807702259, 1539.2322073757496 4544.504171721317, 1542.7245220609127 4584.351426810467, 1652.241703067202 4574.753062791409))",Residental,,
383,"POLYGON ((425.3075073446625 954.1481253234019, 465.2409297412311 956.4550227414136, 472.35181988340594 833.3623453445065, 368.4991078199278 850.2168102857639, 374.90694941805515 889.7002190298593, 429.5428037734016 880.833256641771, 425.3075073446625 954.1481253234019))",Residental,6,"[129,255]"
384,"POLYGON ((1231.9011526006286 4915.864623142222, 1328.7912180145252 4934.827194964753, 1336.4739532683705 4895.571933164335, 1169.6507668295394 4866.831185728268, 1164.1459719686754 4906.450590488306, 1231.9011526006286 4915.864623142222))",Residental,2,"[126,235]"
385,"POLYGON ((1194.234637132492 1159.5104675280888, 1135.1072559927456 1164.7586939437974, 1138.6438059976797 1204.6020473928058, 1234.5478700435287 1196.0894728022006, 1233.9195470354703 1122.3726388542414, 1193.9209999461302 1122.7135651539638, 1194.234637132492 1159.5104675280888))",Residental,8,"[117,179]"
