Origin,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
Comoros,0,0,955,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,4,15,0,0,0,0,1769,0,0,193,0,0,0,0,3,37190,0,0,0,0,0,0,71,0,0,0,0,739,0,0,0,0,0,3,0,0,0,0,0,2,0,0,24,0,0,12,0,2397,0,0,0,0,0,0,0,0,0,0,0,4391,0,0,0,0,0,11557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,17,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,320,0,0,0,0,0,0,0,0,0,0,3,39,0,0,710,0,0,0,0,0,0,2,0,0,0,0,0,0,126,73,1,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0,0,258105,0,4,0,0,5090,947,0,0,0,0,0,0,85184,0,0,1,0,3,0,3513,119,0,22,0,173417,0,0,6393,21445,0,34601,462,0,16,154,13,0,0,266319,10,0,0,7,0,805,263,1696,0,0,8,3,179,0,0,1698,6,107,0,0,1671,77889,0,8485,0,0,9507,35,205,0,0,0,0,74,0,0,0,0,0,45,0,0,0,0,0,572,0,0,6193,0,0,6,0,11231,0,0,0,0,0,0,0,0,0,0,0,443,0,0,103,0,0,0,2250,0,0,0,8,0,91,0,65,0,0,0,0,0,0,2588,0,2954,0,4963,0,0,48,0,0,0,248,0,0,0,4,0,0,1,33,16,1877,0,0,3,15,231438,0,0,559,0,0,0,0,0,0,0,8,8,0,0,50340,87871,1420,0,0,0,0,0,943,0,168,3381,1206,0,0,105174,16,0,667,0,0,0,86,0,0,0,298749,8,0,24575,25147,5,0,0,7,0,0,0,0,22670,3204
"Congo, Rep.",0,0,0,0,0,7189,0,46,0,0,1350,330,0,0,0,0,0,0,4002,0,1971,1,0,7,0,0,97,0,19,0,0,0,0,6569,1923,0,2388,807,0,15,870,13,0,6979,0,8,0,0,23,0,0,107,564,0,0,0,39,166,0,0,0,3,0,0,0,120,70529,0,15547,0,0,16536,0,1388,0,0,0,0,118,0,0,0,0,0,82,5,0,0,0,0,2709,0,0,3176,0,0,5,0,3913,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,11605,0,0,31496,11,0,0,0,15,0,0,1,0,0,1927,0,0,1036,0,950,0,0,8,0,0,0,2297,0,0,0,7,0,0,10,545,114,492,0,0,4,580,0,0,4,66,0,0,0,3,0,0,0,24,8,0,0,32497,0,1967,0,0,0,0,0,1,0,74,806,6881,0,0,29814,0,0,263,0,0,0,0,0,0,0,0,86,0,9032,953,4,0,0,5,0,0,0,0,8897,0
Costa Rica,0,0,0,0,0,0,0,636,0,56,500,191,0,56,0,0,0,0,300,0,0,12,0,151,0,0,473,0,10,0,0,0,0,0,9520,169,0,0,0,577,200,1128,0,0,0,0,0,0,41,0,5,78,130,0,0,2146,1365,1,881,0,0,6,0,0,0,67,763,0,0,0,0,1897,0,37,0,0,0,1209,114,0,0,582,869,0,48,9,0,0,0,0,27,0,0,1507,150,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3359,0,0,0,0,0,0,0,0,0,0,791,0,0,11057,0,0,0,284,0,0,0,8012,0,47,394,40,39,20,1007,0,3,32,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,3798,0,0,0,0,0,0,0,0,423,941,0,0,0,0,0,0,0,0,0,82,0,0,0,0,23,0,637,85133,66,0,0,1144,0,0,0,0,0,0
Cote d'Ivoire,0,0,132,0,0,274,0,33,0,0,610,290,0,0,0,0,0,0,6023,0,14183,2,0,3,0,0,406,0,10,557968,0,7,0,3483,6476,0,233,0,0,11,107,3,0,0,0,3,0,0,0,0,0,143,457,0,0,4,3,246,0,0,0,6,0,8,0,134,91303,0,3233,0,0,4049,46058,112,0,0,0,0,7741,0,0,0,0,0,43,2,0,0,0,0,325,0,0,26342,0,0,2,0,755,0,0,0,0,0,0,0,0,0,0,150586,609,0,0,18,0,0,0,0,0,0,80258,7,0,467,0,39,0,0,11,0,0,0,0,0,26,0,1198,0,0,0,1657,4138,0,339,0,0,0,1,0,0,3,0,5,135,0,0,0,110,0,0,0,0,0,2739,0,13,368,0,0,9,5,0,0,1909,0,3309,0,0,0,0,0,0,0,0,981,3211,0,0,0,16,0,5893,0,0,658,1,0,0,0,63,0,0,6997,28348,5,0,0,6,0,0,0,0,0,0
Croatia,0,13203,0,0,0,0,0,1386,0,1,63350,43339,0,0,0,0,0,0,310,0,0,6,0,39,12287,0,701,0,137,0,0,0,0,0,93048,0,0,0,0,474,136,60,0,0,0,24,0,0,2,0,98,5213,1391,0,0,0,120,97,0,0,0,37,0,94,0,254,10249,0,0,0,0,332605,0,461,0,0,0,0,18,0,0,0,0,0,2109,180,0,0,0,0,926,0,0,23768,0,0,25,0,43,0,0,0,0,0,0,0,5,0,0,0,0,133,0,439,0,1435,0,0,0,0,0,122,0,0,0,82,0,0,0,0,14055,0,0,0,0,0,455,0,1842,2,0,0,0,3776,0,0,0,105,0,0,108,0,843,86,0,0,1482,321,0,0,18,0,0,0,281304,1,0,0,0,968,61649,0,0,1650,0,2000,0,0,0,0,0,0,0,0,8452,19832,0,0,0,0,0,0,0,0,0,331,0,0,0,0,50,0,9078,39747,42,0,0,416,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,20,3461,0,131,890,915,0,417,0,0,58,43,1778,0,0,29,0,1842,0,0,2544,0,405,0,0,87,0,0,15509,972,0,0,0,3783,359,1945,0,0,544,8725,0,0,0,237,42,664,491,0,12,9435,4365,5,128,0,0,15,0,3,0,491,4852,0,0,0,12,14576,0,460,0,0,0,686,1735,0,0,2555,618,0,582,60,0,0,0,0,188,0,1110,35020,2697,0,8,0,13,0,0,0,0,0,0,0,55,0,0,0,0,0,21,25,0,0,5,0,0,0,0,1,0,8,0,12768,0,0,0,0,0,0,0,0,629,0,1323,0,0,967,0,0,0,1008,0,0,0,2917,0,255,1053,10,242,1675,17392,0,55,2228,0,0,21,0,0,0,28,43,0,0,857,143,87,0,0,2533,0,133873,0,24,24,0,0,0,0,0,2724,3354,0,0,0,0,114,0,0,76,0,63,0,0,0,15,702,0,2184,1271618,456,0,0,11601,0,0,0,0,0,0
Curacao,0,0,0,0,0,0,19,0,0,2471,130,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,64,0,0,420,18,0,0,0,5,0,97,0,0,0,3,0,0,3,0,0,0,0,0,0,45,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,65383,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,7,69,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,50,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3586,0,0,0,643,0,211,0,0,0,0
Cyprus,0,0,0,0,0,0,0,327,0,0,20300,297,0,0,0,0,0,0,513,0,0,2,0,2,0,0,0,0,1074,0,0,0,0,0,4845,0,7,0,0,15,0,5,0,0,0,6,0,0,0,0,0,174,169,0,0,8,11,81,0,0,0,10,0,0,0,183,1047,0,0,0,0,1858,0,21215,0,0,0,0,0,0,0,0,0,0,293,5,0,0,0,0,309,0,1500,567,0,0,131,0,11,0,0,0,0,0,0,0,48,0,0,0,0,0,25,66,0,0,0,0,0,0,0,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,655,0,0,3,0,0,0,204,0,0,0,4,0,0,1,0,223,31,0,0,404,716,0,0,0,0,0,0,171,0,0,0,0,129,28,0,0,8115,0,378,252,1,0,0,0,0,0,0,759,480,0,0,0,0,0,0,0,0,0,15388,0,0,0,0,67,0,76000,20091,4,0,0,15,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,1860,0,0,13710,39630,0,4,0,0,0,95,719,0,0,12,0,54,50,0,547,0,1627,0,0,0,0,0,25393,0,0,0,0,182,359,41,0,0,0,76,0,923,189,0,794,0,1346,0,0,30,461,190,1,0,0,347,0,11,0,248,9244,0,0,0,33,93000,0,4349,0,0,0,0,0,0,0,0,0,0,1558,318,0,0,0,0,6539,0,0,10130,0,0,23,0,84,0,0,0,0,0,0,0,135,0,0,0,0,60,79,962,0,53,0,0,106,0,0,101,0,0,0,180,0,133,0,16,103,0,0,0,69,0,6393,0,1372,0,0,0,0,2233,0,0,0,39,0,39,107,17,4836,257,18,0,583,11264,0,0,2,0,0,0,1041,1,0,0,0,87813,649,0,0,3291,0,7611,0,0,0,0,0,0,0,0,1831,14708,0,0,0,0,0,0,0,0,0,1518,0,0,0,0,7473,0,40000,74639,20,375,0,381,0,0,0,0,0,0
Denmark,0,0,171,0,105,0,0,434,0,1,10900,1319,0,16,0,0,0,198,2447,0,0,35,41,111,3,409,604,0,224,0,0,0,0,0,20093,26,2,0,0,289,1759,97,0,0,0,147,0,99,3,0,199,586,0,0,0,96,266,318,6,0,0,254,0,3697,0,985,6733,0,0,0,0,22000,0,884,5207,0,0,0,64,0,0,0,13,0,495,3287,0,0,0,0,1053,0,1220,3097,0,647,49,0,1378,0,0,0,0,0,0,0,207,0,0,0,787,24,275,2690,0,0,0,0,366,0,0,164,0,0,0,192,0,0,156,0,83,0,0,0,104,0,3581,0,1504,55,0,0,0,25055,0,0,0,151,0,21,285,455,957,408,0,0,346,231,0,0,0,0,0,0,181,3,0,0,0,273,120,0,0,4174,0,9665,24,0,0,0,0,0,0,0,41870,5604,0,134,0,3764,0,0,0,0,0,4985,0,0,0,254,30,0,24000,33715,40,131,0,147,0,0,0,0,0,0
Djibouti,0,0,317,0,0,0,0,0,0,0,190,9,0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,11,22,0,0,0,0,587,0,0,0,0,3910,0,0,11,6670,0,0,0,0,0,0,38,0,0,0,0,17,0,0,0,0,0,2,2,0,0,0,0,3,0,0,88,0,0,7,0,799,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,333,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,24,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,4840,13,0,107,30,36,0,78,0,0,607,0,162,0,0,28,0,3,0,0,25,0,1,0,0,0,0,0,3540,0,0,0,0,36,0,52,0,0,0,17,0,0,10,109,0,2,12,0,0,32,18,0,1,0,0,0,0,0,0,6,8243,0,0,0,0,0,0,80,0,112,0,0,12,0,44,0,0,0,4,5,0,0,0,0,5,0,0,339,207,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,75,0,0,3,0,0,0,21,0,0,0,59,0,0,6,0,0,17,1563,0,0,9,0,0,0,0,0,0,0,0,0,0,1547,3,1,0,0,0,0,803,0,203,231,0,170,0,0,0,42,410,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5616,31220,3,0,0,1,0,6547,0,0,0,0
Dominican Republic,0,0,0,0,0,0,1819,10406,0,4355,190,3058,0,303,0,0,0,0,2784,0,0,101,0,120,0,0,381,0,41,0,0,0,0,0,9823,87,0,0,0,344,0,410,0,0,0,2433,0,0,125,5834,13,63,152,0,0,0,517,0,72,0,0,6,0,0,0,172,4912,0,0,0,0,11127,0,697,0,0,0,113,1,0,0,5110,136,0,44,39,0,0,0,0,38,0,0,43334,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,71,0,38,0,0,0,0,0,0,0,0,0,0,0,3019,0,0,0,0,0,0,0,0,0,0,8771,0,0,71,0,0,0,834,0,0,0,8358,0,16,214,17,22,70,67415,0,22,22,0,0,9,0,0,0,0,0,0,0,3671,22,191,0,0,0,0,163821,0,516,48,0,0,0,0,0,733,11572,0,0,0,0,0,0,0,0,0,17,0,1896,0,0,8,0,1217,1085321,50,0,0,14972,127,5958,0,0,0,0
Ecuador,0,0,0,0,0,0,0,10887,0,171,2610,710,0,44,0,0,0,0,6248,0,0,70,0,1042,0,0,2119,0,22,0,0,0,0,0,15852,0,0,0,0,24427,290,15212,0,0,0,1587,0,0,63,0,11,166,349,0,0,1313,0,17,123,0,0,13,0,0,0,196,4198,0,0,0,0,8514,0,116,0,0,0,173,1,0,0,0,465,0,152,34,0,0,0,0,102,0,0,82835,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,3184,0,0,0,0,0,0,0,0,0,0,2365,0,0,115,0,0,0,776,0,0,0,2759,0,94,4639,473,49,461,931,0,3,241,0,0,4,0,0,0,0,0,0,0,0,37,21,0,0,0,0,410517,0,0,0,0,0,0,0,0,2422,6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7725,439123,310,0,0,37549,0,0,0,0,0,0
"Egypt, Arab Rep.",0,435,0,0,0,0,10,274,0,4,44890,13806,0,32,83015,0,0,0,4515,0,0,16,0,21,0,0,3818,0,241,0,0,0,0,0,58058,0,74,0,0,100,1294,149,0,0,0,28,0,240,7,0,6105,1172,1749,0,1,8,124,0,1,0,0,85,0,0,0,1224,31407,0,0,0,0,23428,45,27754,0,0,0,33,26,0,0,0,1,0,1496,33,0,0,0,14651,1328,0,15520,112826,0,1850,132703,0,3134,0,0,0,0,422823,0,0,40,102507,0,0,21474,0,44,27,0,1967,57,0,465,44,0,627,0,489,0,195,0,0,0,0,148,1904,0,0,160,0,13205,0,1359,1,0,18263,0,1111,77119,0,0,75,0,0,26,166,485,434,47,166840,138,1060,0,0,5,0,871621,0,76,10,0,0,0,212,214,0,0,7628,5151,5004,131,1,0,0,0,15831,0,0,6256,6359,0,0,0,56,0,0,0,0,1159,1141,0,0,0,0,147,857947,33000,181677,67,0,0,187,0,0,18524,11225,171,0
El Salvador,0,0,157,0,0,0,0,477,0,3,11050,101,0,76,0,0,0,0,619,11223,0,10,0,132,0,0,279,0,8,0,0,0,0,0,50756,0,0,0,0,289,0,409,0,0,0,13984,0,0,28,0,13,29,63,0,0,506,762,291,0,0,0,1,0,0,0,63,1172,0,0,0,0,1335,0,53,0,0,0,19976,3,0,0,0,8941,0,18,11,0,0,0,0,54,0,0,13416,199,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10594,0,0,0,0,0,0,0,0,0,0,409,0,0,2510,0,0,0,208,0,0,0,3330,0,47,127,1,1,89,824,0,2,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,11813,0,0,0,0,0,0,0,0,2942,887,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,776,1387022,54,0,0,1030,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,13,0,0,10,9,0,0,0,0,0,0,85,0,0,0,0,0,0,0,67,0,0,0,0,0,0,3817,63,0,238,0,0,3,170,3,0,0,1605,1,0,0,6,0,0,6,11,0,0,0,0,1,0,0,0,0,0,0,0,14,427,0,82825,0,0,0,0,4,0,0,0,0,10391,0,0,0,0,0,4,9,0,0,0,0,1,0,0,135,0,0,0,0,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,6,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,9087,0,10,0,0,0,0,0,0,10,0,0,227,0,0,0,104,0,0,0,250,0,0,0,0,0,0,0,0,112,0,0,0,0,21785,0,0,0,0,0,0,0,0,45,66,0,0,0,0,0,109,0,0,0,17,0,0,0,0,1,0,255,513,0,0,0,7,0,0,0,0,0,0
Eritrea,0,0,440,0,0,0,0,10,0,0,4680,270,0,0,1605,0,0,0,376,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9009,0,0,0,0,3,0,8,0,0,0,5,0,0,2,0,5,6,3435,0,0,0,0,2001,0,0,0,0,217472,0,0,143,646,0,0,0,0,14684,0,274,0,0,0,0,22,0,0,0,0,0,35,7,0,0,0,822,167,0,0,12501,0,0,74,0,2456,0,0,0,0,5149,0,0,0,0,0,0,2027,0,0,0,0,0,0,0,0,0,0,654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7387,0,0,0,0,0,0,17718,0,0,0,0,0,0,0,0,26,2,0,3519,0,6,0,0,2,0,0,0,0,0,0,0,0,0,11,0,35,944,3322,138,0,0,0,0,0,188411,0,0,28616,18262,0,0,0,0,0,0,0,0,567,0,0,0,0,4988,0,18440,30000,43010,1,0,0,28,0,0,0,1020,0,0
Estonia,0,0,0,0,0,0,0,206,0,0,3980,523,900,16,0,0,0,3230,973,0,0,3,0,6,0,0,222,0,112,0,0,0,0,0,6165,0,0,0,0,55,0,22,0,0,0,5,0,19,0,0,34,197,1432,0,0,0,18,46,0,0,0,0,0,11,0,44481,922,0,0,0,537,8000,0,126,0,0,0,0,0,0,0,0,0,0,163,135,0,0,0,0,2951,0,0,1467,0,0,6,2643,21,0,0,0,0,0,637,0,3019,0,0,0,0,2,1279,558,0,0,0,0,0,0,0,5,0,0,0,16,0,1210,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,5127,0,0,0,7,0,0,20,0,214,132,0,0,5,58792,0,0,0,0,0,0,0,0,0,0,0,57,40,0,0,237,0,2093,0,0,0,0,0,0,0,0,10303,733,0,0,0,0,0,0,0,0,0,168,629,0,0,0,10509,0,9354,11874,2,4069,0,52,0,0,0,0,0,0
Ethiopia,0,0,407,0,0,0,1337,33,0,4,13080,1255,0,0,1129,0,0,24,4410,0,0,10,0,2,0,0,12,0,80,0,0,0,0,0,28526,0,0,0,0,6,450,10,0,0,0,21,0,0,21,0,95,229,1218,13549,1,0,7,1231,0,0,108,7,0,39,0,1980,8806,0,0,0,0,20878,35,2376,0,0,0,3,11,0,0,0,0,0,140,73,0,0,0,0,537,0,85670,28737,0,0,76,0,36692,0,0,0,0,3917,0,0,0,0,0,0,1872,0,0,8,0,0,0,0,0,0,0,429,0,0,0,25,0,0,5,0,0,0,0,0,195,0,12560,0,1218,82,0,0,0,8355,0,0,0,3,0,0,9,0,47,32,0,2478,3,272,0,0,0,0,148753,0,0,3,0,0,0,32,32,0,13732,5126,12802,4072,0,0,4,0,0,71631,0,31,16704,6634,0,0,0,2,0,0,0,0,229,177,0,0,0,1512,103,10538,20000,244924,5,0,0,35,0,0,0,5806,0,0
Faeroe Islands,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14137,0,0,0,11,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,53,1,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,471,0,0,0,2,0,1,71800,24,0,0,0,0,0,0,27,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,28241,0,0,0,0,11,136,1,0,0,0,1,0,0,0,0,5,4,18,0,0,0,0,1,0,0,0,1,0,0,0,10,158,37,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,4,1,170,0,0,0,42,0,0,39,0,0,0,0,7,514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,118,0,0,5,0,0,0,0,0,0,0,0,0,0,66,0,56274,2,0,0,0,44,0,0,0,1,160,0,1,8,10,0,0,0,0,2,0,156,0,0,0,0,0,0,0,0,0,0,1,100,0,74,0,32,0,0,0,0,0,0,0,0,63,89,0,0,0,0,0,0,687,0,0,2,0,0,54,0,4,0,6021,43406,1,0,229,0,0,0,0,0,0,0
Finland,0,0,184,0,0,0,0,176,0,1,9700,1631,184,5,0,0,0,2102,2602,0,0,7,0,41,0,0,633,0,172,0,0,0,0,0,14658,15,0,0,0,167,1349,50,0,0,0,63,0,37,4,0,582,490,3446,0,0,62,188,342,0,0,0,6549,0,34,0,0,3886,0,0,0,11,11000,0,757,13,0,0,0,5,0,0,0,12,0,833,185,0,0,0,0,1038,0,314,2699,0,705,9,0,146,0,0,0,0,0,130,0,136,0,0,0,848,7,95,1382,0,0,0,0,0,0,0,98,0,0,0,124,0,490,69,4,0,0,0,0,72,0,3114,0,0,11,0,0,0,6864,0,0,0,47,0,0,83,115,269,347,0,0,135,2211,0,0,2,0,0,0,33,1,0,0,0,165,106,0,0,1068,0,11371,61,0,0,0,0,0,0,0,156045,5271,0,0,0,2259,0,0,0,0,0,2476,128,0,0,0,240,0,7000,21526,34,829,0,73,0,0,0,0,0,0
France,0,58,1116,0,4145,0,43,9787,0,52,40270,8512,0,149,2080,0,0,0,184310,0,1854,143,32,1287,167,0,11713,0,1987,0,312,205,283,14895,105159,51,10425,1000,1998,3931,15087,2203,482,0,10474,1470,0,1713,154,10,1079,4906,5739,0,80,3490,3297,2691,215,5017,438,1043,0,23,0,2399,0,24130,15308,0,39,130915,254,6573,14,0,0,268,1044,115,0,944,145,2228,4395,627,1130,0,0,0,11988,0,57000,128402,0,10135,397,0,715,0,0,2505,0,5241,0,0,197,127,0,58,5139,130,302,38384,0,0,10185,0,3138,119,19165,538,0,3018,2878,8625,0,0,7798,75,383,36129,0,0,496,0,25160,38976,4008,154,0,0,0,6385,2951,0,0,1000,0,629,2685,1241,27991,93781,188,2014,8536,2568,233,12,28,136,0,13511,5803,241,0,0,92,2956,3598,2281,0,12506,0,202792,390,5,74,0,0,0,3319,0,9525,158619,0,0,0,22489,0,4906,0,0,8784,28507,0,0,0,363,1433,17302,164000,175250,851,0,549,3835,214,0,0,0,72,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,382,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,70,2321,2,0,1,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,2,0,0,50,40,0,0,0,0,0,0,664,0,0,0,0,0,0,0,36,0,16,0,0,8,0,16052,964,0,308,330,0,6,150,0,0,0,3210,2,0,0,0,0,0,2,10,0,0,0,0,7,0,281,0,0,0,0,0,11,20080,0,0,0,0,523,0,7,0,0,0,0,71,0,0,0,0,0,12,0,0,0,0,0,11,0,0,415,0,0,3,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,34946,0,0,185,0,2,0,0,2,0,0,0,0,0,0,0,98,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,10,586,0,0,4,16,0,0,0,227,0,0,0,1,0,0,0,0,2,0,0,515,0,280,0,0,0,0,0,0,0,0,25,302,0,0,0,0,0,919,0,0,0,5,0,0,0,0,4,0,321,417,1,0,0,2,0,0,0,0,0,0
